Date,Temperature_C,Temperature_Min_C,Feels_Like_C,Rainfall_mm,Humidity_Percent,Weather_Condition,Season,UV_Index,Wind_Speed_kmph,Air_Quality_Index,Dew_Point_C,Visibility_km
2021-02-08,17.6,8.4,15.9,0.0,29.9,Clear,Winter,9.4,32.9,111,4.9,14.2
2021-02-09,16.0,9.3,14.1,0.0,25.0,Clear,Winter,9.7,59.8,103,8.3,14.8
2021-02-10,22.2,16.3,19.4,0.0,25.0,Clear,Winter,9.0,36.1,82,12.9,14.4
"February 11, 2021",21.7,10.1,21.0,0.0,29.4,Clear,Winter,8.1,8.3,65,,13.7
2021-02-12,16.9,6.5,14.9,0.0,39.2,Clear,Winter,7.2,5.4,82,3.5,11.7
2021-02-13,20.0,8.4,18.1,0.0,25.8,Clear,Winter,,12.3,137,4.0,14.0
2021-02-14,18.4,8.1,18.0,0.0,48.5,Clear,Winter,2.2,8.9,55,5.0,13.7
15/02/2021,21.3,8.9,23.2,0.0,36.3,Clear,Winter,7.1,6.1,105,,9.9
2021-02-16,11.1,9.1,7.7,0.0,25.0,Clear,Winter,8.3,21.0,72,7.3,14.7
2021-02-17,20.1,6.4,16.8,0.0,35.7,Clear,Winter,5.0,29.6,65,3.6,14.3
2021-02-18,14.3,9.7,13.3,0.0,36.7,Clear,Winter,,11.9,53,7.3,15.0
2021-02-19,18.5,10.3,19.3,0.0,25.0,Clear,Winter,,21.0,50,8.1,13.3
2021-02-20,14.2,6.5,15.5,0.0,26.0,Clear,Winter,7.3,6.3,64,2.6,13.7
"February 21, 2021",19.6,3.2,22.7,0.0,41.8,Clear,Winter,4.4,12.3,99,-1.3,13.9
2021-02-22,16.4,7.1,14.9,-1.0,26.9,Clear,Winter,,47.0,50,,12.6
2021-02-23,13.8,9.4,14.6,0.0,31.6,Clear,Winter,,13.8,68,7.1,14.8
24/02/2021,25.7,4.9,23.7,0.0,25.0,Clear,Winter,7.7,14.1,80,0.6,12.5
2021-02-25,17.1,11.4,15.3,0.0,25.0,Clear,Winter,2.2,32.9,98,,13.3
2021-02-26,29.7,5.3,29.6,0.0,32.5,Clear,Winter,2.9,39.6,64,3.3,13.9
2021-02-27,17.4,8.0,18.2,0.0,29.0,Clear,Winter,10.5,41.9,51,4.6,13.4
2021-02-28,23.1,12.5,21.6,0.0,36.4,Clear,Winter,2.8,8.9,101,9.2,14.0
01/03/2021,39.9,28.4,39.8,0.0,29.1,Clear,Summer,5.6,16.4,88,26.8,14.8
2021-03-02,33.8,20.4,32.4,0.0,37.3,Clear,Summer,7.7,40.8,76,17.3,14.9
2021-03-03,37.4,23.6,30.9,0.6,25.0,Clear,Summer,,14.1,50,20.7,12.8
2021-03-04,38.3,26.6,38.5,0.0,31.6,Clear,Summer,9.6,10.4,50,23.4,13.0
05/03/2021,44.9,26.5,41.6,0.0,25.5,Heatwave,Summer,8.5,9.7,174,,14.7
06/03/2021,34.1,26.3,31.8,0.0,36.1,Clear,Summer,2.7,15.8,114,22.2,13.3
"March 07, 2021",40.3,24.1,38.9,8.3,32.6,Rain,Summer,4.5,32.5,116,21.0,11.4
2021-03-08,37.9,23.6,37.0,0.0,25.0,Clear,Summer,,9.6,50,19.7,11.2
09/03/2021,31.0,22.6,30.9,0.0,37.7,Clear,Summer,8.1,38.5,97,21.5,14.7
2021-03-10,42.1,23.5,35.3,0.0,25.0,Heatwave,Summer,,37.6,116,20.1,13.4
11/03/2021,37.0,23.0,34.6,0.0,42.6,Clear,Summer,6.0,36.9,150,20.4,13.9
12/03/2021,35.1,22.3,32.2,0.0,25.0,Clear,Summer,8.3,142.75497229922797,94,19.3,14.3
2021-03-13,35.0,17.0,35.2,0.0,25.0,Clear,Post_Monsoon,6.1,18.6,101,12.7,13.8
14/03/2021,38.6,24.7,39.7,0.0,34.3,Clear,Summer,5.8,66.8,111,21.6,12.3
15/03/2021,42.8,21.3,41.3,0.0,34.9,Heatwave,Summer,6.7,14.6,77,16.9,14.9
2021-03-16,34.9,23.3,34.1,0.0,25.0,Clear,Summer,9.6,14.1,108,20.0,14.6
2021-03-17,35.2,21.1,32.7,0.0,36.4,Clear,Summer,,42.7,122,16.5,14.1
"March 18, 2021",37.0,23.5,36.0,0.0,25.0,Clear,Summer,3.9,42.1,78,20.0,13.8
19/03/2021,34.4,18.6,30.3,0.0,33.9,Clear,Summer,9.2,37.2,121,,14.2
2021-03-20,35.9,23.9,31.8,0.0,40.7,Clear,Summer,6.3,24.5,66,22.8,14.1
2021-03-21,36.3,24.2,39.6,0.0,25.0,Clear,Summer,4.7,63.9,107,21.2,13.9
2021-03-22,32.9,20.5,30.8,0.0,33.3,Clear,Summer,6.4,26.7,69,17.4,14.6
23/03/2021,40.3,25.1,42.5,0.0,38.7,Heatwave,Summer,7.3,9.2,86,21.1,14.7
2021-03-24,37.5,18.5,38.4,0.0,34.1,Clear,Summer,4.8,10.5,50,14.2,14.9
2021-03-25,38.8,25.7,38.4,0.0,34.3,Clear,Summer,8.4,27.4,115,21.8,14.9
"March 26, 2021",36.5,17.8,33.9,1.4,25.0,Clear,Summer,9.3,10.4,57,13.8,14.0
2021-03-27,41.0,23.3,40.6,0.0,36.9,Heatwave,Summer,9.8,11.8,109,19.6,14.9
28/03/2021,35.3,21.5,34.6,0.0,42.0,Clear,Summer,9.6,7.2,108,18.6,14.5
29/03/2021,35.4,37.46154602293005,33.7,0.0,25.0,Clear,Summer,10.5,10.2,50,17.3,14.0
2021-03-30,40.6,19.4,36.6,0.0,26.0,Heatwave,Summer,7.1,18.1,135,17.2,13.1
2021-03-31,31.5,21.8,27.8,0.0,25.7,Clear,Summer,,8.4,86,19.9,14.9
2021-04-01,37.8,22.8,40.2,0.0,31.8,Clear,Summer,2.1,14.0,63,18.6,15.0
2021-04-02,39.8,19.9,36.9,0.0,31.3,Clear,Summer,9.6,16.6,147,18.3,14.6
2021-04-03,39.0,21.0,38.2,0.0,29.9,Clear,Summer,9.6,9.2,74,16.8,10.7
2021-04-04,38.2,16.3,36.8,0.0,31.1,Clear,Summer,,72.9,50,14.9,14.3
05/04/2021,33.3,25.7,28.8,0.0,25.0,Clear,Summer,10.6,50.1,74,22.2,14.5
2021-04-06,35.9,25.4,34.4,0.0,35.3,Clear,Summer,7.3,17.1,58,23.5,14.7
07/04/2021,41.4,20.5,42.7,0.0,44.4,Heatwave,Summer,9.2,6.5,155,19.0,14.7
2021-04-08,32.1,29.0,34.7,0.0,30.4,Clear,Summer,6.2,13.0,91,26.8,14.4
09/04/2021,39.4,27.2,39.4,0.0,35.0,Clear,Summer,2.6,36.1,50,23.6,14.3
2021-04-10,32.1,24.2,33.1,0.0,25.0,Clear,Summer,2.1,6.4,62,21.9,15.0
2021-04-11,32.1,23.0,34.9,0.0,31.6,Clear,Summer,7.7,31.1,107,19.8,14.4
"April 12, 2021",36.6,27.7,36.3,0.0,45.8,Clear,Summer,6.6,48.1,139,,12.1
2021-04-13,37.2,22.1,32.7,0.0,28.4,Clear,Summer,9.4,27.2,129,18.2,14.5
14/04/2021,38.0,29.5,37.3,0.0,28.1,Clear,Summer,9.1,22.7,97,24.7,14.2
15/04/2021,37.1,22.7,37.2,0.0,25.0,Clear,Summer,4.1,43.6,59,,14.6
"April 16, 2021",36.1,24.5,33.7,0.0,25.0,Clear,Summer,3.7,30.0,63,21.4,14.8
2021-04-17,37.7,22.6,37.6,0.0,27.1,Clear,Summer,7.9,13.9,64,21.1,14.1
"April 18, 2021",35.2,26.4,34.3,0.0,53.2,Clear,Summer,10.0,8.2,50,25.0,14.9
2021-04-19,38.2,22.2,41.0,14.8,42.5,Rain,Summer,7.8,32.8,65,,11.4
20/04/2021,40.1,28.8,35.8,0.0,25.0,Heatwave,Summer,10.4,25.3,126,27.4,14.7
2021-04-21,39.7,21.6,38.2,0.0,30.0,Clear,Summer,9.8,14.8,50,19.5,13.7
2021-04-22,35.5,24.7,33.2,5.2,31.2,Rain,Summer,7.7,94.2,108,21.9,13.8
2021-04-23,37.8,24.9,42.3,0.0,39.1,Clear,Summer,5.9,20.2,151,21.0,14.8
2021-04-24,37.4,23.9,36.1,0.0,26.4,Clear,Summer,,24.0,54,21.1,14.2
2021-04-25,39.8,19.5,40.5,0.0,32.0,Clear,Summer,,17.5,50,15.2,13.4
2021-04-26,39.6,24.0,39.4,0.0,38.9,Clear,Summer,11.0,9.5,50,20.3,14.3
2021-04-27,36.6,26.5,38.5,0.0,36.2,Clear,Summer,4.0,15.6,126,23.5,11.5
28/04/2021,35.8,23.3,31.1,0.0,25.0,Clear,Monsoon,7.9,118.8,50,,15.0
29/04/2021,37.1,27.1,34.9,0.0,36.7,Clear,Summer,3.9,6.8,85,24.2,13.3
2021-04-30,35.0,26.0,35.6,0.0,28.7,Clear,Summer,8.0,35.6,121,,14.6
01/05/2021,34.9,37.782328562408075,34.7,0.8,30.6,Clear,Summer,6.5,20.3,50,22.9,13.7
2021-05-02,30.9,28.9,31.3,0.0,32.6,Clear,Summer,8.2,30.2,95,24.1,14.8
2021-05-03,37.2,20.8,36.6,0.0,25.0,Clear,Summer,6.0,10.4,100,17.0,13.8
2021-05-04,39.4,20.7,36.3,0.0,38.8,Clear,Summer,,17.9,50,16.6,14.1
2021-05-05,40.2,25.7,39.5,0.0,35.2,Heatwave,Summer,,15.2,155,22.2,13.5
2021-05-06,35.1,23.0,35.0,0.0,29.9,Clear,Summer,12.570617944718721,30.2,68,18.7,14.1
2021-05-07,32.0,23.1,28.7,0.0,33.9,Clear,Summer,8.2,8.8,50,20.8,14.9
2021-05-08,42.4,31.2,40.8,0.0,51.4,Heatwave,Summer,8.6,38.0,133,29.7,14.7
2021-05-09,34.9,21.9,31.3,0.0,27.9,Clear,Summer,,15.0,50,18.2,15.0
"May 10, 2021",35.4,21.3,34.4,0.0,25.0,Clear,Summer,6.4,9.4,50,16.5,14.9
"May 11, 2021",38.9,20.0,39.0,0.0,27.0,Thunderstorm,Summer,5.1,11.8,105,18.6,14.6
12/05/2021,40.1,23.5,39.0,4.3,35.0,Heatwave,Summer,2.1,34.5,100,22.2,13.0
2021-05-13,35.5,23.5,34.5,0.0,25.0,Clear,Summer,4.3,6.7,50,18.9,14.3
2021-05-14,31.6,25.2,30.7,0.0,25.0,Clear,Summer,4.8,16.9,55,21.2,10.9
15/05/2021,37.7,20.9,36.1,0.0,30.8,Clear,Summer,5.5,44.9,103,19.3,14.7
16/05/2021,39.6,24.2,39.7,0.0,28.1,Clear,Summer,3.6,22.5,50,23.1,13.9
2021-05-17,37.5,25.6,36.5,0.0,25.0,Clear,Summer,3.3,42.9,50,24.3,14.6
"May 18, 2021",35.7,28.5,35.2,3.9,38.0,Clear,Summer,2.5,48.7,156,26.3,13.6
2021-05-19,41.7,26.0,39.9,0.0,35.5,Heatwave,Summer,10.4,23.2,125,23.2,14.8
20/05/2021,39.8,23.2,38.1,0.0,29.1,Clear,Monsoon,10.4,7.4,76,19.7,13.1
"May 21, 2021",31.7,22.1,30.8,0.0,33.7,Thunderstorm,Summer,2.9,139.3046296983936,77,17.1,14.8
"May 22, 2021",36.0,25.2,33.3,1.2,39.1,Clear,Monsoon,2.9,26.8,50,22.6,8.6
2021-05-23,40.8,26.4,40.7,0.6,36.8,Heatwave,Summer,,7.2,126,,14.1
"May 24, 2021",37.2,27.6,32.7,0.0,38.8,Clear,Summer,4.0,19.1,123,25.0,11.6
2021-05-25,37.7,33.7,35.6,0.0,31.0,Clear,Summer,10.1,27.5,101,31.9,14.9
2021-05-26,40.1,24.5,40.6,0.0,40.6,Heatwave,Summer,2.8,23.5,188,,14.7
27/05/2021,38.8,24.5,38.9,0.0,35.0,Clear,Summer,9.3,10.4,74,23.4,14.4
2021-05-28,37.2,22.2,35.2,0.0,32.3,Clear,Summer,9.2,13.8,76,20.7,14.7
2021-05-29,37.8,27.3,34.0,0.0,29.1,Clear,Summer,6.8,20.8,56,26.1,13.4
2021-05-30,40.3,26.0,40.1,0.0,31.1,Heatwave,Monsoon,7.4,18.5,131,21.9,13.5
2021-05-31,32.7,23.2,32.9,0.0,27.0,Clear,Summer,8.1,12.2,50,19.3,14.3
2021-06-01,31.2,22.7,33.5,8.4,42.6,Rain,Monsoon,10.3,20.8,73,18.4,12.2
02/06/2021,31.2,23.3,30.1,18.3,40.9,Rainy,Monsoon,8.6,12.0,79,,10.7
2021-06-03,35.6,22.1,35.6,12.1,40.8,Rain,Monsoon,7.4,28.4,50,17.6,11.5
2021-06-04,35.9,22.0,35.3,0.0,25.0,Clear,Monsoon,6.2,76.4,58,,13.6
2021-06-05,34.0,26.0,35.5,32.3,48.0,Heavy_Rain,Monsoon,3.8,29.6,79,21.4,8.5
2021-06-06,28.8,24.5,29.6,0.0,25.0,Clear,Post_Monsoon,5.3,8.1,87,21.5,14.6
2021-06-07,36.0,24.5,34.9,-1.0,25.0,Clear,Monsoon,,10.3,118,19.8,14.6
2021-06-08,36.1,23.7,36.6,0.0,32.7,Clear,Monsoon,2.9,10.6,187,21.3,15.0
"June 09, 2021",35.5,24.1,27.8,4.9,43.5,Clear,Monsoon,,12.9,150,21.6,14.0
2021-06-10,31.7,23.0,32.1,12.4,31.0,Rain,Monsoon,6.5,14.7,63,,12.5
"June 11, 2021",31.7,24.4,30.9,3.1,37.2,Clear,Monsoon,,49.9,121,21.6,13.6
2021-06-12,35.2,24.4,37.2,0.0,39.6,Clear,Monsoon,10.7,31.9,135,20.2,13.1
2021-06-13,37.8,24.7,34.6,3.8,28.2,Clear,Monsoon,2.8,11.5,121,22.2,13.1
2021-06-14,29.8,25.8,28.7,0.0,27.4,Clear,Monsoon,9.6,44.5,150,24.0,14.6
2021-06-15,32.6,23.9,35.3,0.0,28.0,Clear,Monsoon,2.7,15.0,53,19.4,14.6
16/06/2021,32.8,25.5,32.0,13.7,52.7,Rain,Summer,2.9,141.62742333856886,126,22.8,10.5
2021-06-17,34.5,25.8,38.2,14.8,37.6,Rain,Monsoon,4.8,9.2,107,22.3,11.7
"June 18, 2021",29.4,25.9,32.5,0.0,32.3,Clear,Monsoon,10.5,6.0,121,22.9,12.8
2021-06-19,37.1,26.5,39.3,26.2,46.8,rain,Monsoon,3.3,15.5,88,23.7,9.2
"June 20, 2021",34.1,27.7,37.4,0.0,32.4,Clear,Monsoon,4.7,143.69087599112214,55,25.5,14.8
2021-06-21,31.2,26.5,28.8,0.0,36.9,Clear,Monsoon,3.2,12.4,87,22.4,13.7
2021-06-22,34.7,23.4,33.1,16.9,45.0,raining,Monsoon,10.6,42.3,121,21.6,11.3
23/06/2021,36.0,21.6,39.8,0.0,25.5,Clear,Monsoon,,5.6,79,19.7,14.9
2021-06-24,38.7,24.8,35.9,0.0,25.0,Clear,Monsoon,4.0,15.7,88,21.3,14.0
2021-06-25,37.2,26.7,36.5,0.0,37.4,Clear,Monsoon,10.7,7.1,50,24.6,13.2
2021-06-26,30.0,26.6,31.3,14.7,40.1,rain,Monsoon,10.7,21.8,83,24.5,11.7
2021-06-27,32.2,27.7,33.5,19.3,51.1,Rain,Monsoon,6.2,62.8,90,26.4,9.8
28/06/2021,31.8,26.1,33.4,9.9,37.9,Rain,Monsoon,7.6,68.5,50,22.3,12.3
29/06/2021,35.1,26.6,35.1,0.0,25.0,Clear,Monsoon,4.7,10.4,65,24.0,14.1
"June 30, 2021",34.5,24.0,33.5,26.7,61.2,Rain,Monsoon,3.5,23.2,73,20.4,7.1
"July 01, 2021",31.3,25.0,32.2,10.4,46.9,Rain,Monsoon,4.2,12.9,50,22.4,12.0
2021-07-02,32.6,26.8,35.5,0.0,25.0,Clear,Monsoon,10.1,32.4,56,23.1,13.9
"July 03, 2021",33.4,22.3,32.3,18.6,42.1,Rain,Monsoon,8.9,69.8,72,19.5,10.9
2021-07-04,35.3,25.2,32.8,0.0,29.4,Clear,Monsoon,5.7,25.4,100,,13.8
05/07/2021,28.9,26.8,33.5,55.7,67.0,Heavy_Rain,Monsoon,5.9,14.5,50,25.5,3.1
2021-07-06,27.0,25.0,25.5,0.0,40.1,Clear,Monsoon,,53.6,131,20.5,14.7
2021-07-07,31.6,25.5,31.8,0.0,39.8,Clear,Monsoon,2.4,10.4,100,22.4,15.0
2021-07-08,36.1,22.7,39.2,40.1,59.1,Heavy_Rain,Monsoon,6.3,27.9,129,21.6,6.5
2021-07-09,28.2,24.0,26.9,0.0,25.0,Clear,Monsoon,4.2,9.6,50,22.5,14.4
2021-07-10,34.4,35.80452801871978,34.8,15.8,50.1,raining,Monsoon,2.3,20.4,125,,11.2
11/07/2021,33.5,22.7,33.2,0.0,27.8,Clear,Monsoon,10.0,15.5,57,18.3,13.4
"July 12, 2021",32.5,27.0,29.5,0.0,30.4,Clear,Monsoon,10.7,8.5,51,25.7,14.1
2021-07-13,32.8,29.4,33.7,23.6,62.0,Rain,Monsoon,6.6,34.6,58,28.3,8.6
14/07/2021,29.8,25.5,30.3,20.1,33.7,rain,Monsoon,10.5,40.6,50,24.1,10.6
"July 15, 2021",37.3,23.2,39.8,0.0,25.0,Clear,Monsoon,,6.9,126,19.0,14.5
16/07/2021,29.2,25.5,29.8,1.4,39.5,Clear,Monsoon,,18.8,85,20.8,13.1
2021-07-17,35.0,23.3,31.9,18.2,50.7,Rain,Monsoon,4.6,39.5,50,20.7,8.6
2021-07-18,29.4,27.0,30.4,0.0,42.7,Clear,Monsoon,5.0,37.7,83,24.3,14.5
19/07/2021,27.1,25.1,28.4,17.7,57.1,Rain,Monsoon,7.7,13.3,66,23.3,9.8
2021-07-20,29.6,22.8,28.5,7.7,49.1,Rain,Monsoon,4.6,16.7,77,,12.2
21/07/2021,29.0,25.1,32.0,0.0,25.0,Thunderstorm,Monsoon,3.0,38.2,70,20.8,14.3
"July 22, 2021",30.0,24.9,35.5,40.4,48.4,Heavy_Rain,Monsoon,7.7,30.9,52,22.4,6.6
23/07/2021,36.7,25.4,37.0,35.2,63.0,Heavy_Rain,Monsoon,2.9,35.1,87,22.2,6.1
2021-07-24,28.6,23.4,29.6,0.0,33.1,Clear,Monsoon,2.5,15.6,83,21.2,14.5
25/07/2021,31.2,24.7,31.2,8.6,37.0,Rain,Monsoon,,27.3,71,20.1,13.2
2021-07-26,28.0,23.6,27.0,17.8,58.2,Rain,Monsoon,5.7,7.1,85,21.4,10.4
"July 27, 2021",30.7,22.0,32.4,27.9,42.3,Rain,Monsoon,5.2,12.1,76,19.5,9.4
"July 28, 2021",31.3,27.2,25.5,0.0,25.0,Clear,Monsoon,4.1,24.5,50,24.8,13.8
2021-07-29,29.0,25.6,29.3,0.4,25.0,Clear,Monsoon,8.4,5.4,50,21.8,14.5
"July 30, 2021",33.5,24.4,33.8,0.0,25.1,Clear,Monsoon,9.8,49.8,63,23.3,14.1
"July 31, 2021",34.9,25.5,32.6,0.0,25.9,Clear,Monsoon,,15.7,115,22.6,14.4
"August 01, 2021",39.5,21.5,38.0,15.4,58.3,Rain,Monsoon,5.5,10.0,81,,11.9
2021-08-02,35.4,26.3,34.7,63.5,76.1,Heavy_Rain,Monsoon,2.1,10.4,50,,1.9
2021-08-03,27.6,25.4,29.8,130.5,98.0,Heavy_Rain,Monsoon,,11.7,116,20.5,0.5
2021-08-04,31.5,23.8,31.8,27.3,44.0,Rain,Monsoon,8.5,9.3,53,21.6,9.4
05/08/2021,33.8,24.2,34.3,38.3,54.4,Heavy_Rain,Monsoon,,16.7,101,21.1,4.9
2021-08-06,30.9,26.7,31.9,0.0,35.9,Clear,Monsoon,2.4,22.6,90,,14.3
07/08/2021,29.4,26.4,35.5,42.9,66.5,Heavy_Rain,Monsoon,4.6,29.0,50,24.9,5.5
"August 08, 2021",32.9,26.0,32.0,0.0,27.8,Clear,Monsoon,5.2,6.9,92,23.7,14.4
2021-08-09,31.8,23.4,30.7,16.3,32.6,raining,Monsoon,10.2,7.2,111,21.3,10.1
"August 10, 2021",35.4,21.6,34.1,0.0,28.0,Clear,Monsoon,2.7,49.4,50,18.9,14.4
2021-08-11,32.2,25.4,30.8,2.7,32.4,Clear,Monsoon,6.9,66.9,104,23.0,13.7
2021-08-12,31.7,26.2,34.0,3.9,30.4,Clear,Monsoon,8.8,67.0,113,,12.5
13/08/2021,29.2,25.3,31.5,14.5,31.0,Rain,Monsoon,10.8,51.6,53,23.0,10.4
2021-08-14,36.2,21.0,33.3,0.0,25.0,Clear,Monsoon,,7.9,155,17.4,13.6
"August 15, 2021",36.9,25.2,37.0,0.0,25.0,Clear,Monsoon,2.6,23.5,115,20.3,13.9
2021-08-16,33.6,22.1,31.9,27.7,59.4,Rain,Monsoon,8.4,16.8,67,20.0,8.9
2021-08-17,30.2,25.5,28.7,50.6,74.9,Heavy_Rain,Monsoon,9.3,29.4,50,22.3,4.8
2021-08-18,35.2,27.6,37.0,13.8,41.3,Rain,Monsoon,,122.02117317869316,107,26.5,11.4
19/08/2021,30.1,26.1,30.4,0.0,25.0,Clear,Monsoon,5.5,8.9,51,24.7,13.1
2021-08-20,34.4,35.53304005910582,36.1,8.9,38.6,Rain,Monsoon,5.3,10.2,125,16.8,12.5
2021-08-21,28.6,26.6,27.4,0.0,29.8,Clear,Monsoon,,8.6,135,25.1,13.7
2021-08-22,39.2,22.8,36.3,0.0,38.6,Clear,Monsoon,6.5,20.8,223,,14.6
2021-08-23,27.2,23.2,27.7,9.1,43.6,Rain,Monsoon,3.0,22.2,50,20.0,12.1
"August 24, 2021",32.3,25.7,31.2,5.1,39.2,Rain,Monsoon,9.6,18.2,140,21.6,12.6
2021-08-25,31.1,26.0,30.0,0.0,31.0,Clear,Winter,6.5,6.8,76,22.6,9.4
"August 26, 2021",33.6,25.3,30.4,0.0,37.2,Clear,Monsoon,8.3,11.2,50,21.5,15.0
27/08/2021,33.4,22.7,32.4,2.5,32.2,Clear,Monsoon,4.2,42.8,97,20.8,14.3
2021-08-28,35.4,27.2,33.1,0.0,30.1,Clear,Monsoon,10.7,10.8,107,22.7,13.9
29/08/2021,31.3,23.7,36.7,-1.0,94.7,Heavy_Rain,Monsoon,8.7,32.6,127,19.0,0.5
2021-08-30,30.2,23.1,29.3,0.0,37.6,Clear,Monsoon,5.5,37.5,50,,14.3
"August 31, 2021",34.2,25.8,38.0,52.0,68.1,Heavy_Rain,Monsoon,6.1,9.9,85,22.8,4.5
2021-09-01,34.8,21.7,34.0,0.0,31.7,Clear,Monsoon,7.2,36.0,68,19.1,14.6
02/09/2021,31.4,26.6,32.7,0.0,41.8,Clear,Monsoon,4.0,53.5,172,22.7,13.7
2021-09-03,32.4,24.8,31.5,6.3,50.1,Rain,Monsoon,6.0,56.9,126,22.6,13.5
04/09/2021,31.0,27.1,30.6,0.0,31.9,Clear,Monsoon,9.3,21.6,105,25.9,13.2
2021-09-05,32.0,23.7,29.3,0.0,32.2,Clear,Monsoon,5.4,7.8,71,,14.1
"September 06, 2021",35.8,25.3,33.9,0.0,28.9,Clear,Monsoon,7.8,7.3,159,,13.5
2021-09-07,32.5,27.6,32.0,0.0,32.3,Clear,Monsoon,,28.0,72,25.4,13.7
2021-09-08,32.7,25.1,33.9,0.0,27.6,Clear,Monsoon,4.9,70.9,80,22.9,12.3
2021-09-09,34.0,27.9,34.9,0.0,46.8,Clear,Monsoon,3.5,22.5,147,23.4,13.7
2021-09-10,32.7,22.9,32.6,0.0,27.7,Clear,Monsoon,,5.6,152,21.9,13.4
2021-09-11,34.7,23.6,34.6,21.8,32.4,Rain,Monsoon,,26.4,50,21.9,10.6
2021-09-12,35.2,25.2,38.3,13.7,38.3,Rain,Monsoon,10.6,13.8,113,21.3,11.4
