Record_ID,Date,Mess_Hall_ID,Day_of_Week,Meal_Type,Menu_Item,Cuisine_Category,Food_Type,Contains_Egg,Contains_Dairy,Protein_Content_Category,Is_Served_On_Separate_Counter,Is_Special_Menu,Food_Prepared_kg,Food_Consumed_kg,Food_Wasted_kg,Waste_Percentage,Cost_Per_Kg_INR,Serving_Size_Per_Student_g,Leftover_Redistribution_kg,Cook_on_Duty,Mess_Supervisor_ID,Preparation_Start_Time,Service_End_Time
OPS-20210101-MH_A-0011,2021-01-01,MH_A,Friday,Lunch,Dal Fry,North Indian,veg,False,False,High,False,False,40.0,32.9,7.1,19.89,,219.8,,C004,SUP02,12:00,14:30
OPS-20210101-MH_A-0012,2021-01-01,MH_A,Friday,Snacks,Fruit Plate,Continental,Vegan,False,False,Low,False,False,10.0,8.43,1.57,15.74,126.39,208.3,0.31,C008,SUP05,1630,18:30
OPS-20210101-MH_A-0013,2021-01-01,MH_A,Friday,Snacks,Coffee,Continental,Veg,False,True,Low,False,False,10.0,7.59,2.41,24.06,71.25,208.3,0.48,C021,SUP07,16:30,18:30
OPS-20210101-MH_A-0014,2021-01-01,MH_A,Friday,Dinner,Egg Curry,North Indian,Egg,True,False,High,True,False,3.2,3.384241039773043,-0.18424103977304274,18.28,164.64,28.3,,C021,SUP01,19:30,22:00
OPS-20210101-MH_A-0015,2021-01-01,MH_A,Friday,Dinner,Mutton Curry,North Indian,NV,False,False,High,True,False,8.0,6.89,1.11,15.47,415.67,70.8,,C019,SUP01,19:30,22:00
OPS-20210101-MH_A-0016,01/01/2021,MH_A,Friday,Dinner,Halwa,Sweet-Dessert,Veg,False,True,Low,False,False,40.0,32.7,7.3,16.05,194.74,354.0,,C003,SUP01,19:30,22:00
OPS-20210101-MH_A-0017,2021-01-01,MH_A,Friday,Dinner,Mixed Veg,North Indian,Veg,False,False,Low,False,False,40.0,35.35,4.65,11.63,93.66,354.0,,C023,SUP06,19:30,22:00
OPS-20210101-MH_A-0018,2021-01-01,MH_A,Friday,Dinner,Dal Fry,North Indian,Veg,False,False,High,False,False,40.0,36.45,3.55,9.94,100.45,354.0,,C009,SUP07,19:30,2200
OPS-20210101-MH_A-0019,2021-01-01,MH_A,Friday,Dinner,Rajma Rice,North Indian,Veg,False,False,High,False,False,40.0,36.81,3.19,7.97,120.36,354.0,,C006,SUP01,19:30,22:00
OPS-20210101-MH_B-0001,01/01/2021,MH_B,Friday,Breakfast,Poha,North Indian,Veg,False,False,Low,False,False,20.0,14.94,5.06,25.31,74.96,173.9,,C021,SUP03,0630,09:00
OPS-20210101-MH_B-0002,"January 01, 2021",MH_B,Friday,Breakfast,Rava Idli,South Indian,Veg,False,False,Low,False,False,20.0,17.28,2.72,15.21,87.06,173.9,,C013,SUP01,06:30,09:00
OPS-20210101-MH_B-0003,"January 01, 2021",MH_B,Friday,Breakfast,Dosa,South Indian,Veg,False,False,Low,False,False,20.0,16.81,3.19,15.93,95.17,173.9,,C002,SUP01,06:30,09:00
OPS-20210101-MH_B-0004,2021-01-01,MH_B,Friday,Breakfast,Boiled Eggs,Continental,Egg,True,False,High,True,False,3.2,2.57,0.63,19.67,121.08,27.8,,C010,SUP05,06:30,09:00
OPS-20210101-MH_B-0005,2021-01-01,MH_B,Friday,Lunch,Jain Sabzi,North Indian,Jain,False,False,,False,False,3.13,2.9,0.23,7.48,93.93,20.5,,C008,SUP04,12:00,2:30 PM
OPS-20210101-MH_B-0006,2021-01-01,MH_B,Friday,Lunch,Aloo Dum,North Indian,Veg,False,False,Low,False,False,40.0,30.85,9.15,22.88,81.42,261.4,,C002,SUP03,1200,14:30
OPS-20210101-MH_B-0007,"January 01, 2021",MH_B,Friday,Lunch,Paneer Curry,North Indian,Veg,False,True,High,False,False,40.0,31.07,8.93,22.33,308.9,261.4,,C023,SUP02,12:00,14:30
OPS-20210101-MH_B-0008,2021-01-01,MH_B,Friday,Lunch,Egg Curry,North Indian,Egg,True,False,High,True,False,3.2,2.32,0.88,27.59,153.69,20.9,,C020,SUP07,0:00 PM,14:30
OPS-20210101-MH_B-0009,2021-01-01,MH_B,Friday,Lunch,Mutton Curry,North Indian,NV,False,False,High,True,False,8.0,6.13,1.87,23.33,396.62,52.3,,C002,SUP05,12:00,14:30
OPS-20210101-MH_B-0010,2021-01-01,MH_B,Friday,Lunch,Palak Paneer,North Indian,Veg,False,True,High,False,False,40.0,32.56,7.44,18.6,315.53,261.4,,C016,SUP07,12:00,1430
OPS-20210101-MH_B-0011,2021-01-01,MH_B,Friday,Lunch,Chicken Soup,Continental,Non_Veg,False,False,,True,False,8.0,6.76,1.24,17.29,185.66,52.3,,C009,SUP04,12:00,2:30 PM
OPS-20210101-MH_B-0012,2021-01-01,MH_B,Friday,Lunch,Baingan Bharta,North Indian,Veg,False,False,Low,False,False,40.0,32.65,7.35,18.37,79.66,261.4,1.47,C025,SUP03,12:00,1430
OPS-20210101-MH_B-0013,2021-01-01,MH_B,Friday,Snacks,Upma,South Indian,Veg,False,False,,False,False,13.56,11.22,2.34,17.26,76.05,110.2,,C024,SUP06,1630,18:30
OPS-20210101-MH_B-0014,"January 01, 2021",MH_B,Friday,SNACKS,Tea,Continental,Veg,False,True,Low,False,False,14.22,12.17,2.05,16.16,58.87,115.6,,C004,SUP02,4:30 PM,18:30
OPS-20210101-MH_B-0015,2021-01-01,MH_B,Friday,Dinner,Dal Tadka,North Indian,Veg,False,False,High,False,False,40.0,37.92,2.08,4.58,106.07,287.8,,C001,SUP03,19:30,2200
OPS-20210101-MH_B-0016,01/01/2021,MH_B,Friday,Dinner,Egg Curry,North Indian,Egg,True,False,High,True,False,6.12,5.18,0.94,15.4,173.45,44.0,,C006,SUP03,19:30,2200
OPS-20210101-MH_B-0017,2021-01-01,MH_B,Friday,Dinner,Chicken Biryani,North Indian,Non_Veg,False,False,High,True,False,8.0,6.69,1.31,18.32,253.2,57.6,,C004,SUP06,19:30,22:00
OPS-20210101-MH_B-0018,"January 01, 2021",MH_B,Friday,Dinner,Kheer,Sweet-Dessert,Veg,False,True,Medium,False,False,40.0,34.84,5.16,11.36,228.24,287.8,,C018,SUP03,7:30 PM,22:00
OPS-20210101-MH_B-0019,2021-01-01,MH_B,Friday,Dinner,Kadhi Pakoda,North Indian,Veg,False,True,Medium,False,False,40.0,33.41,6.59,16.47,94.6,287.8,,C010,SUP03,19:30,22:00
OPS-20210101-MH_B-0020,2021-01-01,MH_B,Friday,Dinner,Dal Fry,North Indian,Veg,False,False,High,False,False,40.0,35.11,4.89,12.23,99.53,287.8,0.98,C025,SUP07,19:30,10:00 PM
OPS-20210101-MH_G-0001,2021-01-01,MH_G,Friday,Breakfast,Poha,North Indian,Veg,False,False,Low,False,False,20.0,21.088004583001066,-1.0880045830010658,20.28,69.4,285.7,,C016,SUP02,06:30,09:00
OPS-20210101-MH_G-0002,2021-01-01,MH_G,Friday,Breakfast,Rava Idli,South Indian,Veg,False,False,Low,False,False,20.0,17.4,2.6,13.02,89.16,285.7,,C020,SUP03,06:30,09:00
OPS-20210101-MH_G-0003,2021-01-01,MH_G,Friday,Breakfast,Dosa,South Indian,Vegetarian,False,False,Low,False,False,20.0,17.87,2.13,9.37,91.45,285.7,,C018,SUP04,06:30,09:00
OPS-20210101-MH_G-0004,"January 01, 2021",MH_G,Friday,Breakfast,Mutton Curry,Continental,Non_Veg,True,False,High,True,False,3.2,2.73,0.47,14.64,121.54,45.7,,C016,SUP02,06:30,09:00
OPS-20210101-MH_G-0005,2021-01-01,MH_G,Friday,Lunch,Chole Bhature,North Indian,Veg,False,False,High,False,False,40.0,34.08,5.92,13.03,130.52,339.0,,C001,SUP04,12:00,14:30
OPS-20210101-MH_G-0006,01/01/2021,MH_G,Friday,Lunch,Idli-Sambar,South Indian,Veg,False,False,Medium,False,False,40.0,34.07,5.93,14.83,83.75,339.0,,C025,SUP01,12:00,14:30
OPS-20210101-MH_G-0007,"January 01, 2021",MH_G,Friday,Lunch,Paneer Curry,North Indian,Veg,False,True,High,False,False,40.0,34.76,5.24,13.09,301.03,339.0,,C008,SUP02,12:00,14:30
OPS-20210101-MH_G-0008,2021-01-01,MH_G,Friday,Lunch,Egg Curry,North Indian,Egg,True,False,,True,False,3.61,2.84,0.77,21.39,164.32,30.6,,C017,SUP07,12:00,1430
OPS-20210101-MH_G-0009,2021-01-01,MH_G,Friday,Lunch,Mutton Curry,North Indian,Non_Veg,False,False,High,True,False,8.0,6.28,1.72,21.46,423.55,67.8,,C024,SUP02,1200,1430
OPS-20210101-MH_G-0010,2021-01-01,MH_G,Friday,Lunch,Aloo Gobi,North Indian,Veg,False,False,Low,False,False,40.0,35.21,4.79,10.53,85.09,339.0,,C011,SUP06,1200,14:30
OPS-20210101-MH_G-0011,2021-01-01,MH_G,Friday,Lunch,Chicken Soup,Continental,Non_Veg,False,False,Medium,True,False,8.0,6.56,1.44,20.16,173.84,67.8,,C009,SUP05,12:00,2:30 PM
OPS-20210101-MH_G-0012,2021-01-01,MH_G,Friday,Snacks,Poha,North Indian,Veg,False,False,Low,False,False,10.0,7.96,2.04,20.38,68.18,238.1,,C016,SUP03,16:30,18:30
OPS-20210101-MH_G-0013,2021-01-01,MH_G,Friday,Snacks,Tea,Continental,Veg,False,True,Low,False,False,10.0,8.28,1.72,19.31,61.23,238.1,,C022,SUP02,16:30,18:30
OPS-20210101-MH_G-0014,2021-01-01,MH_G,Friday,Dinner,Paneer Curry,North Indian,Veg,False,True,High,False,False,40.0,38.35,1.65,3.64,302.99,377.4,,C001,SUP06,1930,22:00
OPS-20210101-MH_G-0015,2021-01-01,MH_G,Friday,Dinner,Egg Bhurji,North Indian,Egg,True,False,High,True,False,3.2,2.68,0.52,18.09,154.75,30.2,,C013,SUP03,19:30,22:00
OPS-20210101-MH_G-0016,2021-01-01,MH_G,Friday,Dinner,Aloo Gobi,North Indian,Veg,False,False,Low,False,False,40.0,33.76,6.24,17.47,83.8,377.4,,C004,SUP02,1930,22:00
OPS-20210101-MH_G-0017,2021-01-01,MH_G,Friday,Dinner,Chicken Biryani,North Indian,Non_Veg,False,False,High,True,False,8.0,8.936438587934674,-0.9364385879346742,12.76,245.69,75.5,,C018,SUP04,7:30 PM,2200
OPS-20210101-MH_G-0018,01/01/2021,MH_G,Friday,Dinner,Kadhi Pakoda,North Indian,Veg,False,True,,False,False,40.0,33.75,6.25,15.63,96.86,377.4,,C010,SUP01,1930,22:00
OPS-20210101-MH_G-0019,"January 01, 2021",MH_G,Friday,Dinner,Mixed Veg,North Indian,Veg,False,False,Low,False,False,40.0,32.86,7.14,19.99,88.59,377.4,,C004,SUP07,19:30,10:00 PM
OPS-20210102-MH_A-0001,2021-01-02,MH_A,Saturday,Breakfast,Bread-Omelette,Continental,Egg,True,False,Medium,True,False,3.2,2.72,0.48,15.1,134.16,45.7,,C016,SUP06,06:30,09:00
OPS-20210102-MH_A-0002,2021-01-02,MH_A,Saturday,Breakfast,Puri-Sabzi,North Indian,Veg,False,False,Low,False,False,20.0,17.48,2.52,12.61,98.75,285.7,,C024,,06:30,0900
OPS-20210102-MH_A-0003,2021-01-02,MH_A,Saturday,Breakfast,Aloo Paratha,North Indian,Veg,False,False,Low,False,False,20.0,15.67,4.33,21.65,94.02,285.7,,C017,SUP07,06:30,09:00
OPS-20210102-MH_A-0004,"January 02, 2021",MH_A,Saturday,Breakfast,Idli-Sambar,South Indian,Veg,False,False,Medium,False,False,20.0,17.63,2.37,11.85,90.79,285.7,,C017,SUP03,06:30,9:00 AM
OPS-20210102-MH_A-0005,2021-01-02,MH_A,Saturday,Lunch,Aloo Dum,North Indian,Veg,False,False,Low,False,False,40.0,33.77,6.23,17.45,85.5,272.1,,C004,SUP05,12:00,2:30 PM
OPS-20210102-MH_A-0006,2021-01-02,MH_A,Saturday,Lunch,Egg Fried Rice,Continental,Egg,True,False,Medium,True,False,3.39,2.53,0.86,22.45,166.58,23.1,,C007,SUP05,0:00 PM,2:30 PM
OPS-20210102-MH_A-0007,2021-01-02,MH_A,Saturday,Lunch,Mutton Curry,North Indian,Non_Veg,,False,,True,False,8.0,6.61,1.39,15.3,433.05,54.4,,C018,SUP07,1200,14:30
OPS-20210102-MH_A-0008,"January 02, 2021",MH_A,Saturday,Lunch,Aloo Gobi,North Indian,Veg,False,False,Low,False,False,40.0,30.82,9.18,25.7,88.36,272.1,,C013,SUP05,12:00,14:30
OPS-20210102-MH_A-0009,2021-01-02,MH_A,Saturday,Lunch,Chicken Soup,Continental,Non_Veg,False,False,Medium,True,False,8.0,6.43,1.57,19.63,170.27,54.4,,C010,SUP01,12:00,14:30
OPS-20210102-MH_A-0010,2021-01-02,MH_A,Saturday,Lunch,Baingan Bharta,North Indian,Veg,False,False,Low,False,False,40.0,33.39,6.61,14.55,79.02,272.1,1.32,C003,,12:00,14:30
OPS-20210102-MH_A-0011,02/01/2021,MH_A,Saturday,Lunch,Rajma Rice,North Indian,Veg,False,False,,False,False,40.0,30.41,9.59,23.98,105.17,0.0,,C021,SUP01,1200,14:30
OPS-20210102-MH_A-0012,"January 02, 2021",MH_A,Saturday,Snacks,Samosa,Street Food,veg,False,False,Low,False,False,10.0,7.93,2.07,20.71,112.95,333.3,,C005,SUP04,16:30,18:30
OPS-20210102-MH_A-0013,2021-01-02,MH_A,Saturday,Snacks,Fruit Plate,Continental,Vegan,False,False,Low,False,False,10.0,7.86,2.14,21.4,133.45,333.3,,C024,,16:30,18:30
OPS-20210102-MH_A-0014,2021-01-02,MH_A,Saturday,Dinner,Egg Bhurji,North Indian,Egg,,False,High,True,False,3.2,2.67,0.53,16.48,153.86,24.8,,C017,SUP04,19:30,2200
OPS-20210102-MH_A-0015,2021-01-02,MH_A,Saturday,Dinner,Chana Masala,North Indian,Vegetarian,False,False,High,False,False,40.0,34.34,5.66,14.16,121.94,310.1,,C017,SUP05,1930,22:00
OPS-20210102-MH_A-0016,2021-01-02,MH_A,Saturday,Dinner,Halwa,Sweet-Dessert,Veg,False,True,Low,False,False,40.0,32.52,7.48,16.45,196.55,310.1,,C018,SUP02,19:30,22:00
OPS-20210102-MH_A-0017,2021-01-02,MH_A,Saturday,Dinner,Aloo Gobi,North Indian,Veg,False,False,Low,False,False,40.0,32.96,7.04,17.6,84.51,310.1,,C020,SUP07,19:30,22:00
OPS-20210102-MH_A-0018,"January 02, 2021",MH_A,Saturday,Dinner,Fish Fry,South Indian,Non_Veg,False,False,High,True,False,8.0,6.15,1.85,20.36,293.03,62.0,,C007,SUP06,19:30,22:00
OPS-20210102-MH_A-0019,2021-01-02,MH_A,Saturday,Dinner,Chicken Biryani,North Indian,Non_Veg,False,False,High,True,False,8.0,5.73,2.27,28.39,235.84,62.0,,C016,,19:30,10:00 PM
OPS-20210102-MH_A-0020,"January 02, 2021",MH_A,Saturday,Dinner,Jain Dal,North Indian,Jain,False,False,Medium,False,False,4.06,3.72,0.34,8.42,117.88,31.5,,C016,,19:30,22:00
OPS-20210102-MH_A-0021,2021-01-02,MH_A,Saturday,Dinner,Rajma Rice,North Indian,Veg,False,False,High,False,False,40.0,32.12,7.88,19.69,106.85,310.1,,C017,SUP03,19:30,22:00
OPS-20210102-MH_B-0001,2021-01-02,MH_B,Saturday,Breakfast,Upma,South Indian,Veg,False,False,Low,False,False,20.0,17.04,2.96,14.78,75.48,185.2,,C017,SUP01,6:30 AM,09:00
OPS-20210102-MH_B-0002,2021-01-02,MH_B,Saturday,Breakfast,Dosa,South Indian,Veg,False,False,Low,False,False,20.0,16.35,3.65,20.41,93.55,185.2,,C009,SUP01,06:30,09:00
OPS-20210102-MH_B-0003,2021-01-02,MH_B,Saturday,Breakfast,Aloo Paratha,North Indian,Veg,False,False,Low,False,False,20.0,16.83,3.17,17.77,98.63,185.2,,C022,SUP01,6:30 AM,09:00
OPS-20210102-MH_B-0004,"January 02, 2021",MH_B,Saturday,Breakfast,Egg Bhurji,North Indian,Egg,True,False,High,True,False,3.2,2.56,0.64,19.94,147.82,29.6,,C024,SUP01,06:30,0900
OPS-20210102-MH_B-0005,2021-01-02,MH_B,Saturday,Lunch,Jain Sabzi,North Indian,Jain,False,False,Low,False,False,2.34,2.29,0.05,2.26,91.13,8.1,,C009,SUP05,12:00,1430
OPS-20210102-MH_B-0006,02/01/2021,MH_B,Saturday,Lunch,Aloo Dum,North Indian,Veg,False,False,Low,False,False,40.0,35.17,4.83,12.08,83.77,138.9,,C008,SUP06,12:00,2:30 PM
OPS-20210102-MH_B-0007,2021-01-02,MH_B,Saturday,Lunch,Egg Fried Rice,Continental,Egg,True,False,Medium,True,False,5.01,3.79,1.22,24.34,166.08,17.4,,C016,SUP06,12:00,14:30
OPS-20210102-MH_B-0008,2021-01-02,MH_B,Saturday,Lunch,Idli-Sambar,South Indian,Veg,False,False,Medium,False,False,40.0,32.81,7.19,17.97,95.26,138.9,,C024,,12:00,14:30
OPS-20210102-MH_B-0009,02/01/2021,MH_B,Saturday,Lunch,Mutton Curry,North Indian,Non_Veg,False,False,High,True,False,8.0,6.09,1.91,26.77,428.84,27.8,,C009,SUP02,1200,1430
OPS-20210102-MH_B-0010,2021-01-02,MH_B,Saturday,Lunch,Aloo Gobi,North Indian,Veg,False,False,Low,False,False,40.0,31.63,8.37,20.92,88.21,138.9,,C020,SUP02,1200,1430
OPS-20210102-MH_B-0011,02/01/2021,MH_B,Saturday,Lunch,Chicken Soup,Continental,Non_Veg,False,False,Medium,True,False,8.0,5.69,2.31,28.88,175.51,27.8,,C023,SUP04,1200,2:30 PM
OPS-20210102-MH_B-0012,2021-01-02,MH_B,Saturday,Lunch,Rajma Rice,North Indian,Veg,False,False,High,False,False,40.0,33.64,6.36,15.89,108.27,138.9,,C005,,12:00,14:30
OPS-20210102-MH_B-0013,2021-01-02,MH_B,Saturday,Snacks,Samosa,Street Food,Veg,False,False,Low,False,False,10.0,8.98,1.02,11.39,118.59,212.8,,C009,SUP05,16:30,6:30 PM
OPS-20210102-MH_B-0014,2021-01-02,MH_B,Saturday,Snacks,Bhel Puri,Street Food,Veg,False,False,Low,False,False,10.0,8.03,1.97,19.72,105.23,212.8,,C024,SUP03,16:30,18:30
OPS-20210102-MH_B-0015,2021-01-02,MH_B,Saturday,Dinner,Khichdi,North Indian,Veg,False,False,Medium,False,False,40.0,32.94,7.06,15.53,75.41,317.5,,C011,SUP05,19:30,22:00
OPS-20210102-MH_B-0016,"January 02, 2021",MH_B,Saturday,Dinner,Egg Bhurji,North Indian,Egg,True,False,High,True,False,3.2,2.52,0.68,21.37,152.14,25.4,,C017,SUP01,1930,2200
OPS-20210102-MH_B-0017,02/01/2021,MH_B,Saturday,Dinner,Aloo Gobi,North Indian,Veg,False,False,Low,False,False,40.0,31.48,8.52,21.29,86.83,317.5,,C025,SUP02,19:30,22:00
OPS-20210102-MH_B-0018,2021-01-02,MH_B,Saturday,Dinner,Kheer,Sweet-Dessert,Veg,False,True,Medium,False,False,40.0,31.8,8.2,20.51,224.2,317.5,,C025,SUP06,19:30,2200
OPS-20210102-MH_B-0019,2021-01-02,MH_B,Saturday,Dinner,Fish Fry,South Indian,Non_Veg,False,False,High,True,False,8.0,6.69,1.31,16.33,315.55,63.5,,C014,,19:30,22:00
OPS-20210102-MH_B-0020,2021-01-02,MH_B,Saturday,Dinner,Chicken Biryani,North Indian,Non_Veg,False,False,High,True,False,8.0,6.27,1.73,24.28,245.42,63.5,,C004,SUP01,19:30,22:00
OPS-20210102-MH_B-0021,2021-01-02,MH_B,Saturday,Dinner,Rajma Rice,North Indian,Veg,False,False,High,False,False,40.0,32.38,7.62,19.05,105.01,317.5,,C025,SUP04,19:30,22:00
OPS-20210102-MH_G-0001,2021-01-02,MH_G,Wednessday,Breakfast,Poha,North Indian,Veg,False,False,Low,False,False,20.0,17.63,2.37,11.83,69.45,298.5,,C017,,06:30,09:00
OPS-20210102-MH_G-0002,02/01/2021,MH_G,Saturday,Breakfast,Puri-Sabzi,North Indian,Veg,False,False,Low,False,False,20.0,18.13,1.87,8.22,90.38,298.5,,C015,,06:30,9:00 AM
OPS-20210102-MH_G-0003,2021-01-02,MH_G,Saturday,breakfast,Cornflakes,Continental,Veg,False,False,Low,False,False,20.0,15.76,4.24,21.22,94.42,298.5,,C006,SUP02,06:30,0900
OPS-20210102-MH_G-0004,2021-01-02,MH_G,Saturday,Breakfast,Egg Bhurji,North Indian,Egg,True,False,High,True,False,3.2,2.62,0.58,15.95,150.78,47.8,,C007,SUP05,06:30,09:00
OPS-20210102-MH_G-0005,2021-01-02,MH_G,Saturday,Lunch,Roti-Sabzi,North Indian,Veg,False,False,Low,False,False,40.0,32.69,7.31,18.28,79.82,350.9,,C014,SUP04,12:00,2:30 PM
OPS-20210102-MH_G-0006,02/01/2021,MH_G,Saturday,Lunch,Egg Curry,North Indian,Egg,True,False,High,True,False,3.2,2.65,0.55,19.11,150.35,28.1,,C009,SUP04,0:00 PM,14:30
OPS-20210102-MH_G-0007,"January 02, 2021",MH_G,Saturday,Lunch,Mutton Curry,North Indian,Non_Veg,False,False,High,True,False,8.0,7.32,0.68,7.47,447.63,70.2,,C001,,12:00,14:30
OPS-20210102-MH_G-0008,2021-01-02,MH_G,Saturday,Lunch,Dosa,South Indian,Veg,False,False,Low,False,False,40.0,32.37,7.63,21.36,92.61,350.9,,C019,SUP05,1200,14:30
OPS-20210102-MH_G-0009,2021-01-02,MH_G,Saturday,Lunch,Dum Aloo,North Indian,Veg,False,False,Low,False,False,40.0,36.06,3.94,8.67,96.71,350.9,,C015,SUP04,1200,1430
OPS-20210102-MH_G-0010,02/01/2021,MH_G,Saturday,Lunch,Chicken Soup,Continental,Non_Veg,False,False,Medium,True,False,8.0,6.75,1.25,15.59,,70.2,,C010,SUP06,12:00,14:30
OPS-20210102-MH_G-0011,02/01/2021,MH_G,Saturday,Lnch,Baingan Bharta,North Indian,Veg,False,False,Low,False,False,40.0,35.46,4.54,9.99,79.74,350.9,,C007,SUP06,1200,1430
OPS-20210102-MH_G-0012,"January 02, 2021",MH_G,Saturday,Snacks,Upma,South Indian,Veg,False,False,Low,False,False,10.0,7.77,2.23,22.27,82.24,270.3,,C002,SUP02,1630,18:30
OPS-20210102-MH_G-0013,2021-01-02,MH_G,Saturday,Snacks,Coffee,Continental,Veg,False,True,Low,False,False,10.0,8.04,1.96,19.65,72.07,270.3,0.39,C017,,1630,18:30
OPS-20210102-MH_G-0014,2021-01-02,MH_G,Saturday,Dinner,Roti-Sabzi,North Indian,Vegetarian,False,False,Low,False,False,40.0,36.66,3.34,7.35,78.79,384.6,,C018,,19:30,2200
OPS-20210102-MH_G-0015,2021-01-02,MH_G,Saturday,Dinner,Dal Tadka,North Indian,Veg,False,False,,False,False,40.0,33.13,6.87,17.18,101.59,384.6,,C006,SUP07,19:30,2200
OPS-20210102-MH_G-0016,2021-01-02,MH_G,Saturday,Dinner,Egg Curry,North Indian,Egg,True,False,High,True,False,3.2,2.66,0.54,16.73,155.97,30.8,,C021,SUP03,19:30,22:00
OPS-20210102-MH_G-0017,2021-01-02,MH_G,Saturday,dinner,Chicken Biryani,North Indian,Non_Veg,False,False,High,True,False,8.0,6.64,1.36,17.02,226.78,76.9,0.27,C014,SUP01,19:30,2200
OPS-20210102-MH_G-0018,2021-01-02,MH_G,Saturday,Dinner,Fish Fry,South Indian,Non_Veg,False,False,High,True,False,8.0,6.71,1.29,14.14,311.97,76.9,0.26,C003,,19:30,22:00
OPS-20210102-MH_G-0019,2021-01-02,MH_G,Saturday,Dinner,Kadhi Pakoda,North Indian,VEG,False,True,Medium,False,False,40.0,34.87,5.13,11.28,96.75,384.6,,C001,,1930,10:00 PM
OPS-20210102-MH_G-0020,02/01/2021,MH_G,Saturday,dinner,Mixed Veg,North Indian,Veg,False,False,Low,False,False,40.0,35.24,4.76,11.91,89.27,384.6,,C010,SUP06,1930,22:00
OPS-20210103-MH_A-0001,03/01/2021,MH_A,Sunday,Breakfast,Upma,South Indian,Veg,False,False,Low,False,True,20.0,16.63,3.37,14.83,71.0,180.2,,C018,SUP04,06:30,09:00
OPS-20210103-MH_A-0002,03/01/2021,MH_A,Sunday,Breakfast,Cornflakes,Continental,Veg,False,False,Low,False,True,20.0,16.06,3.94,22.04,91.57,180.2,,C013,SUP06,06:30,0900
OPS-20210103-MH_A-0003,2021-01-03,MH_A,Sunday,Breakfast,Egg Bhurji,North Indian,Egg,True,False,High,True,True,3.2,2.68,0.52,18.16,147.35,28.8,,C022,SUP06,06:30,0900
OPS-20210103-MH_A-0004,"January 03, 2021",MH_A,Sunday,Breakfast,Idli-Sambar,South Indian,Veg,False,False,Medium,False,True,20.0,15.58,4.42,22.11,86.0,180.2,,C016,SUP06,0630,09:00
OPS-20210103-MH_A-0005,"January 03, 2021",MH_A,Sunday,Lunch,Idli-Sambar,South Indian,Vegetarian,False,False,Medium,False,True,40.0,34.16,5.84,14.59,89.9,198.0,,C008,SUP04,12:00,1430
OPS-20210103-MH_A-0006,2021-01-03,MH_A,Sunday,Lunch,Dal Tadka,North Indian,Veg,False,False,High,False,True,40.0,32.8,7.2,20.17,100.98,198.0,,C013,SUP07,12:00,14:30
