Cost_Record_ID,Date,Mess_Hall_ID,Menu_Item,Primary_Ingredient,Ingredient_Quantity_kg,Market_Price_Per_Kg_INR,Total_Ingredient_Cost_INR,Labour_Cost_INR,Fuel_Cost_INR,Total_Cost_INR,Waste_Cost_INR,Supplier_ID,Price_Spike_Flag,Procurement_Method,Batch_Quality_Grade
CR-20210109-MH_A-SAMO,2021-01-09,MH_A,Samosa,Potato,34.18,20.07,685.99,547.83,118.56,1352.38,269.68,V03,False,Spot_Market,A
CR-20210109-MH_A-EGG,09/01/2021,MH_A,Egg Curry,Egg,63.41,7.7,488.26,643.06,298.76,1430.08,241.37,V03,False,Contract,A
CR-20210109-MH_A-PURI,"January 09, 2021",MH_A,Puri-Sabzi,Wheat,30.39,42.29,1285.19,302.25,,1587.44,341.63,V06,False,Contract,C
CR-20210109-MH_A-SAMB,2021-01-09,MH_A,Sambar Rice,Lentil,9.22,94.41,870.46,,,870.46,295.18,V05,False,Spot_Market,
CR-20210109-MH_B-JAIN,09/01/2021,MH_B,Jain Sabzi,Mixed Vegetables,62.9,34.3,2157.47,336.27,,2493.74,764.44,V09,False,Spot_Market,A
CR-20210109-MH_B-TEA,09/01/2021,MH_B,Tea,Tea Leaves,3.73,343.7,1282.0,737.94,299.24,2319.18,679.35,V04,False,Contract,C
CR-20210109-MH_B-KEEM,2021-01-09,MH_B,Keema Matar,Mutton,11.35,522.03,5925.04,,297.15,6222.19,2008.21,V01,False,Spot_Market,B
CR-20210109-MH_B-DAL,2021-01-09,MH_B,Dal Fry,Dal,69.55,123.34,8578.3,203.33,118.83,8900.46,1564.72,V06,False,Contract,
CR-20210109-MH_G-KHIC,2021-01-09,MH_G,Khichdi,Rice,20.92,82.19,1719.41,337.13,,2056.54,224.93,V02,False,Spot_Market,A
CR-20210109-MH_G-IDLI,2021-01-09,MH_G,Idli-Sambar,Rice,73.29,79.19,5803.84,214.94,188.95,6207.73,1394.72,V07,False,Spot_Market,B
CR-20210109-MH_G-GULA,2021-01-09,MH_G,Gulab Jamun,Milk,78.79,64.86,5110.32,463.5,135.23,5709.05,795.91,V04,False,Direct_Farm,A
CR-20210109-MH_G-PANE,2021-01-09,MH_G,Paneer Curry,Paneer,5.96,328.1,1955.48,634.9,79.51,2669.89,490.35,V12,False,Contract,B
CR-20210110-MH_A-IDLI,2021-01-10,MH_A,Idli-Sambar,Rice,55.19,79.4,4382.09,716.59,266.77,5365.45,783.77,V12,False,Contract,C
CR-20210110-MH_A-KHEE,"January 10, 2021",MH_A,Kheer,Milk,74.23,64.42,4781.9,,77.46,4859.36,1559.91,V05,False,Contract,B
CR-20210110-MH_A-HALW,2021-01-10,MH_A,Halwa,Semolina,74.94,68.27,5116.15,416.76,157.15,5690.06,1705.92,V05,False,Contract,C
CR-20210110-MH_A-DOSA,2021-01-10,MH_A,Dosa,Rice,31.69,93.59,2965.87,641.7,,3607.57,1018.65,V11,False,Contract,B
CR-20210110-MH_A-CHOL,2021-01-10,MH_A,Chole Bhature,Chickpea,35.28,77.2,2723.62,546.8,265.37,3535.79,435.56,V03,False,Contract,A
CR-20210110-MH_A-ALOO,"January 10, 2021",MH_A,Aloo Paratha,Potato,56.67,40.14,2274.73,,256.28,2531.01,471.01,V09,False,Contract,A
CR-20210110-MH_B-SAMO,2021-01-10,MH_B,Samosa,Potato,74.63,42.06,3138.94,572.96,295.11,4007.01,453.3,V10,False,Spot_Market,A
CR-20210110-MH_B-DOSA,2021-01-10,MH_B,Dosa,Rice,44.77,63.73,2853.19,555.25,,3408.44,712.98,V08,False,Direct_Farm,B
CR-20210110-MH_B-BAIN,2021-01-10,MH_B,Baingan Bharta,Brinjal,18.44,31.16,574.59,687.94,,1262.53,162.1,V08,False,Contract,
CR-20210110-MH_B-PURI,2021-01-10,MH_B,Puri-Sabzi,Wheat,27.15,41.29,1121.02,409.63,54.29,1584.94,239.42,V02,False,Contract,A
CR-20210110-MH_B-PALA,2021-01-10,MH_B,Palak Paneer,Paneer,48.09,372.17,17897.66,411.76,83.64,18393.06,5397.84,V09,False,Contract,
CR-20210110-MH_B-CORN,"January 10, 2021",MH_B,Cornflakes,Maize,69.9,49.81,3481.72,256.93,64.52,3803.17,658.09,V10,False,Contract,A
CR-20210110-MH_G-CHOL,2021-01-10,MH_G,Chole Bhature,Chickpea,50.74,113.59,5763.56,446.2,,6209.76,899.33,V03,False,Spot_Market,B
CR-20210110-MH_G-JAIN,"January 10, 2021",MH_G,Jain Sabzi,Mixed Vegetables,56.43,56.06,3163.47,260.92,138.94,3563.33,1000.29,V07,False,Spot_Market,B
CR-20210110-MH_G-CHIC,2021-01-10,MH_G,Chicken Soup,Chicken,13.33,175.52,2339.68,752.31,278.74,3370.73,415.87,V01,False,Spot_Market,A
CR-20210110-MH_G-RAJM,"January 10, 2021",MH_G,Rajma Rice,Rajma,54.87,143.72,7885.92,764.78,289.87,8940.57,1502.66,V07,False,Spot_Market,A
CR-20210110-MH_G-DOSA,10/01/2021,MH_G,Dosa,Rice,27.68,77.87,2155.44,448.22,,2603.66,338.99,V06,False,Contract,A
CR-20210110-MH_G-PALA,2021-01-10,MH_G,Palak Paneer,Paneer,77.74,349.19,27146.03,542.25,,27688.28,3654.8,V09,False,Contract,A
CR-20210111-MH_A-TEA,2021-01-11,MH_A,Tea,Tea Leaves,4.28,280.55,1200.75,,,1200.75,318.41,V02,False,Contract,
CR-20210111-MH_A-DOSA,2021-01-11,MH_A,Dosa,Rice,70.63,90.85,6416.74,545.09,,6961.83,1164.44,V07,False,Contract,
CR-20210111-MH_B-MIXE,2021-01-11,MH_B,Mixed Veg,Mixed Vegetables,79.41,62.93,4997.27,403.5,,5400.77,1351.13,V02,False,Direct_Farm,A
CR-20210111-MH_B-EGG,"January 11, 2021",MH_B,Egg Fried Rice,Egg,51.37,11.81,606.68,288.1,,894.78,292.15,V06,False,Contract,A
CR-20210111-MH_G-UPMA,"January 11, 2021",MH_G,Upma,Semolina,21.43,63.73,1365.73,454.02,,1819.75,293.35,V07,False,Contract,
CR-20210111-MH_G-POHA,2021-01-11,MH_G,Poha,Flattened Rice,74.27,54.07,4015.78,378.52,,2007.89,1216.25,V02,False,Contract,B
CR-20210112-MH_A-EGG,2021-01-12,MH_A,Egg Bhurji,Egg,5.38,8.3,44.65,251.9,134.82,431.37,100.58,V01,False,Contract,A
CR-20210112-MH_A-MIXE,12/01/2021,MH_A,Mixed Veg,Mixed Vegetables,25.76,79.79,2055.39,218.57,,2273.96,359.89,V10,False,Contract,A
CR-20210112-MH_A-BREA,12/01/2021,MH_A,Bread-Butter,Bread,19.36,65.93,1276.4,364.0,294.39,1934.79,358.44,V07,False,Contract,
CR-20210112-MH_A-POHA,2021-01-12,MH_A,Poha,Flattened Rice,25.05,72.5,1816.12,,178.62,1994.74,479.81,V06,False,Contract,A
CR-20210112-MH_B-BOIL,"January 12, 2021",MH_B,Boiled Eggs,Egg,6.14,11.65,71.53,483.57,181.51,736.61,174.33,V01,False,Spot_Market,A
CR-20210112-MH_B-EGG,2021-01-12,MH_B,Egg Fried Rice,Egg,21.25,6.58,139.82,322.71,,462.53,121.56,V02,False,Spot_Market,A
CR-20210112-MH_B-CHAN,2021-01-12,MH_B,Chana Masala,Chickpea,57.13,115.24,6583.66,,77.6,6661.26,979.59,V03,False,Contract,A
CR-20210112-MH_B-KHIC,"January 12, 2021",MH_B,Khichdi,Rice,58.55,64.22,3760.08,353.5,,4113.58,939.35,V07,False,Contract,B
CR-20210112-MH_G-ALOO,12/01/2021,MH_G,Aloo Paratha,Potato,66.87,42.77,2860.03,416.38,210.01,3486.42,698.14,V06,False,Direct_Farm,B
CR-20210112-MH_G-CHIC,"January 12, 2021",MH_G,Chicken Soup,Chicken,10.58,243.32,2574.33,575.54,146.16,3296.03,634.31,V09,False,Contract,
CR-20210112-MH_G-DUM,2021-01-12,MH_G,Dum Aloo,Potato,40.94,39.72,1626.14,445.25,,2071.39,685.84,V07,False,Contract,C
CR-20210112-MH_G-IDLI,"January 12, 2021",MH_G,Idli-Sambar,Rice,65.42,83.71,5476.31,,156.05,5632.36,1867.32,V10,False,Direct_Farm,A
CR-20210113-MH_A-KEEM,2021-01-13,MH_A,Keema Matar,Mutton,14.11,517.45,7301.22,318.66,,7619.88,1473.26,V12,False,Direct_Farm,B
CR-20210113-MH_A-MUTT,2021-01-13,MH_A,Mutton Curry,Mutton,17.05,466.96,7961.67,740.89,,8702.56,893.56,V10,False,Spot_Market,A
CR-20210113-MH_A-TEA,13/01/2021,MH_A,Tea,Tea Leaves,-14.703108139692702,225.9,740.95,242.75,265.8,1249.5,261.33,V07,False,Contract,A
CR-20210113-MH_A-CORN,13/01/2021,MH_A,Cornflakes,Maize,21.35,47.93,1023.31,275.74,,1299.05,223.3,V08,False,Contract,
CR-20210113-MH_A-VEGE,2021-01-13,MH_A,Vegetable Soup,Mixed Vegetables,6.03,76.47,,253.26,,714.37,174.98,V02,False,Spot_Market,B
CR-20210113-MH_A-PANE,2021-01-13,MH_A,Paneer Curry,Paneer,21.22,316.11,6707.85,788.07,,7495.92,1618.07,V03,False,Contract,
CR-20210113-MH_B-KHEE,2021-01-13,MH_B,Kheer,Milk,50.78,55.24,2805.09,216.26,240.87,3262.22,335.67,V12,False,Direct_Farm,
CR-20210113-MH_B-EGG,"January 13, 2021",MH_B,Egg Bhurji,Egg,42.95,9.48,407.17,710.15,187.22,1304.54,453.62,V07,False,Contract,A
CR-20210113-MH_B-ALOO,2021-01-13,MH_B,Aloo Gobi,Potato,46.97,27.06,1271.01,562.61,183.68,2017.3,666.41,V08,False,Contract,
CR-20210113-MH_B-PANE,2021-01-13,MH_B,Paneer Curry,Paneer,77.73,336.55,26160.03,791.58,169.67,27121.28,5758.15,V04,False,Contract,B
CR-20210113-MH_B-SAMB,2021-01-13,MH_B,Sambar Rice,Lentil,77.66,94.05,7303.92,710.0,98.31,8112.23,1082.09,V09,False,Spot_Market,B
CR-20210113-MH_B-ALOO,2021-01-13,MH_B,Aloo Dum,Potato,7.93,32.27,255.9,299.61,238.97,794.48,241.02,V04,False,Spot_Market,A
CR-20210113-MH_G-EGG,"January 13, 2021",MH_G,Egg Curry,Egg,40.68,6.33,257.5,311.99,230.23,799.72,250.85,V07,False,Direct_Farm,B
CR-20210113-MH_G-PURI,13/01/2021,MH_G,Puri-Sabzi,Wheat,19.41,57.17,1109.67,669.28,277.9,2056.85,698.14,V03,False,Contract,
CR-20210113-MH_G-EGG,"January 13, 2021",MH_G,Egg Bhurji,Egg,47.65,10.34,492.7,480.82,100.73,1074.25,151.04,V01,False,Direct_Farm,B
CR-20210113-MH_G-BHEL,13/01/2021,MH_G,Bhel Puri,Puffed Rice,27.23,52.62,1432.84,271.86,,1704.7,312.95,V04,False,Contract,A
CR-20210113-MH_G-FRUI,2021-01-13,MH_G,Fruit Plate,Fruits,62.53,62.91,3933.76,299.61,159.66,4393.03,483.0,V05,False,Contract,
CR-20210113-MH_G-SAMO,2021-01-13,MH_G,Samosa,Potato,12.09,39.27,474.77,404.96,,879.73,170.43,V11,False,Direct_Farm,
CR-20210114-MH_A-UPMA,2021-01-14,MH_A,Upma,Semolina,5.58,63.09,352.04,,93.01,445.05,45.16,V04,False,Contract,B
CR-20210114-MH_A-TEA,2021-01-14,MH_A,Tea,Tea Leaves,2.71,227.28,615.93,632.76,106.18,1354.87,295.67,V06,False,Spot_Market,B
CR-20210114-MH_A-BISI,14/01/2021,MH_A,Bisi Bele Bath,Lentil,74.61,110.17,8219.78,605.26,136.5,8961.54,1084.76,V10,False,Spot_Market,A
CR-20210114-MH_A-PALA,14/01/2021,MH_A,Palak Paneer,Paneer,16.38,288.43,4724.48,335.57,164.04,5224.09,1146.1,V05,False,Contract,A
CR-20210114-MH_B-BREA,14/01/2021,MH_B,Bread-Butter,Bread,24.38,60.92,1485.23,683.5,,2168.73,385.57,V01,False,Spot_Market,B
CR-20210114-MH_B-DAL,2021-01-14,MH_B,Dal Tadka,Dal,15.31,127.98,1959.37,454.44,,2413.81,584.77,V07,False,Spot_Market,A
CR-20210114-MH_B-MUTT,2021-01-14,MH_B,Mutton Curry,Mutton,21.93,472.08,10352.71,204.72,172.19,10729.62,1297.49,V07,False,Spot_Market,B
CR-20210114-MH_B-CHOL,"January 14, 2021",MH_B,Chole Bhature,Chickpea,41.44,91.07,3773.94,327.12,227.9,4328.96,1365.15,V11,False,Contract,A
CR-20210114-MH_G-CHIC,"January 14, 2021",MH_G,Chicken Soup,Chicken,21.28,202.98,4319.41,233.37,289.31,4842.09,1010.17,V03,False,Contract,A
CR-20210114-MH_G-SAMO,"January 14, 2021",MH_G,Samosa,Potato,40.24,21.39,860.73,523.44,171.68,1555.85,501.24,V11,False,Spot_Market,B
CR-20210114-MH_G-GULA,2021-01-14,MH_G,Gulab Jamun,Milk,32.3,59.98,1937.35,547.48,63.04,968.675,546.83,V05,False,Contract,B
CR-20210114-MH_G-BHEL,"January 14, 2021",MH_G,Bhel Puri,Puffed Rice,5.84,66.85,390.4,494.87,,885.27,124.7,V03,False,Direct_Farm,A
CR-20210115-MH_A-KADH,15/01/2021,MH_A,Kadhi Pakoda,Yogurt,41.37,55.06,2277.83,346.51,121.73,2746.07,789.91,V09,False,Contract,
CR-20210115-MH_A-CHIC,"January 15, 2021",MH_A,Chicken Masala,Chicken,29.87,265.34,7925.71,548.42,255.51,8729.64,1770.29,V12,False,Contract,
