Attendance_ID,Date,Mess_Hall_ID,Meal_Type,Total_Registered_Students,Present_For_Meal,Attendance_Percentage,Male_Count,Female_Count,Absentee_Count,Veg_Counter_Count,Non_Veg_Counter_Count,Egg_Counter_Count,Veg_Non_Veg_Ratio,Advance_Menu_Announced,Biometric_Verified,Special_Event_Day,Data_Collection_Method
ATT-20210104-MH_B-BRE,2021-01-04,MH_B,Breakfast,450,72,16.0,72.0,,378,,,,,True,True,False,Manual_Count
ATT-20210104-MH_B-LUN,"January 04, 2021",MH_B,Lunch,450,181,40.22,181.0,,269,,,,,False,False,False,Biometric
ATT-20210104-MH_B-SNA,"January 04, 2021",MH_B,Snacks,450,57,12.67,57.0,,393,,,,,False,True,False,Biometric
ATT-20210104-MH_B-DIN,2021-01-04,MH_B,Dinner,450,138,30.67,138.0,,312,,,,,True,True,False,Biometric
ATT-20210104-MH_G-BRE,2021-01-04,MH_G,breakfast,300,90,30.0,,90.0,210,,,,,True,True,False,Biometric
ATT-20210104-MH_G-LUN,2021-01-04,MH_G,Lunch,300,108,36.0,,108.0,192,,,,,False,True,False,Manual_Count
ATT-20210104-MH_G-SNA,2021-01-04,MH_G,Snacks,300,63,21.0,,63.0,237,,,,,False,True,False,Biometric
ATT-20210104-MH_G-DIN,"January 04, 2021",MH_G,Dinner,300,93,31.0,,93.0,207,,,,,False,True,False,Token_System
ATT-20210105-MH_A-BRE,2021-01-05,MH_A,Breakfast,450,95,21.11,95.0,,355,,,,,True,True,False,Biometric
ATT-20210105-MH_A-LUN,05/01/2021,MH_A,Lunch,450,179,39.78,179.0,,271,,,,,True,True,False,Manual_Count
ATT-20210105-MH_A-SNA,05/01/2021,MH_A,Snacks,450,55,12.22,55.0,,395,,,,,True,True,False,Biometric
ATT-20210105-MH_A-DIN,2021-01-05,MH_A,Dinner,450,143,31.78,143.0,,307,,,,,True,True,False,Biometric
ATT-20210105-MH_B-BRE,2021-01-05,MH_B,Breakfast,450,130,28.89,130.0,,320,,,,,False,True,False,Biometric
ATT-20210105-MH_B-LUN,2021-01-05,MH_B,Lunch,450,168,37.33,168.0,,282,,,,,True,True,False,Manual_Count
ATT-20210105-MH_B-SNA,2021-01-05,MH_B,Snacks,450,81,18.0,81.0,,369,,,,,True,True,False,Biometric
ATT-20210105-MH_B-DIN,2021-01-05,MH_B,Dinner,450,186,41.33,186.0,,-3,,,,,True,True,False,Biometric
ATT-20210105-MH_G-BRE,"January 05, 2021",MH_G,Breakfast,300,77,25.67,,77.0,223,,,,,False,True,False,Manual_Count
ATT-20210105-MH_G-LUN,2021-01-05,MH_G,Lunch,300,116,38.67,,116.0,184,,,,,True,True,False,Manual_Count
ATT-20210105-MH_G-SNA,2021-01-05,MH_G,Snacks,300,53,17.67,,53.0,247,,,,,True,True,False,Biometric
ATT-20210105-MH_G-DIN,05/01/2021,MH_G,Dinner,300,81,27.0,,81.0,219,,,,,False,True,False,Biometric
ATT-20210106-MH_A-BRE,"January 06, 2021",MH_A,Breakfast,450,121,26.89,121.0,,329,,,,,False,True,False,Biometric
ATT-20210106-MH_A-LUN,2021-01-06,MH_A,Lunch,450,190,42.22,190.0,,260,,,,,True,True,False,Biometric
ATT-20210106-MH_A-SNA,2021-01-06,MH_A,Snacks,450,77,17.11,77.0,,373,,,,,True,True,False,Biometric
ATT-20210106-MH_A-DIN,"January 06, 2021",MH_A,Dinner,450,137,30.44,137.0,,313,,,,,True,True,False,Biometric
ATT-20210106-MH_B-BRE,"January 06, 2021",MH_B,Breakfast,450,122,27.11,122.0,,328,,,,,False,True,False,Token_System
ATT-20210106-MH_B-LUN,2021-01-06,MH_B,Lunch,450,161,35.78,161.0,,289,,,,,False,True,False,Manual_Count
ATT-20210106-MH_B-SNA,06/01/2021,MH_B,Snacks,450,85,18.89,85.0,,365,,,,,False,False,False,Token_System
ATT-20210106-MH_B-DIN,"January 06, 2021",MH_B,Dinner,450,143,31.78,143.0,,307,,,,,True,True,False,Biometric
ATT-20210106-MH_G-BRE,2021-01-06,MH_G,Breakfast,300,70,23.33,,70.0,230,,,,,False,True,False,Biometric
ATT-20210106-MH_G-LUN,2021-01-06,MH_G,Lunch,300,114,38.0,,114.0,186,,,,,True,True,False,Token_System
ATT-20210106-MH_G-SNA,06/01/2021,MH_G,Snacks,300,40,13.33,,40.0,260,,,,,False,True,False,Biometric
ATT-20210106-MH_G-DIN,"January 06, 2021",MH_G,Dinner,300,105,35.0,,105.0,195,,,,,True,True,False,Biometric
ATT-20210107-MH_A-BRE,07/01/2021,MH_A,Breakfast,450,46,10.22,46.0,,404,,,,,True,True,False,Manual_Count
ATT-20210107-MH_A-LUN,2021-01-07,MH_A,Lunch,450,109,24.22,109.0,,341,,,,,False,True,False,Biometric
ATT-20210107-MH_A-SNA,2021-01-07,MH_A,Snacks,450,35,7.78,35.0,,415,,,,,False,True,False,Biometric
ATT-20210107-MH_A-DIN,2021-01-07,MH_A,Dinner,450,94,20.89,94.0,,356,,,,,True,True,False,Biometric
ATT-20210107-MH_B-BRE,"January 07, 2021",MH_B,Breakfast,450,41,9.11,41.0,,409,,,,,True,True,False,Manual_Count
ATT-20210107-MH_B-LUN,"January 07, 2021",MH_B,Lunch,450,65,14.44,65.0,,385,,,,,False,False,False,Biometric
ATT-20210107-MH_B-SNA,2021-01-07,MH_B,Snacks,450,65,14.44,65.0,,385,,,,,True,True,False,Manual_Count
ATT-20210107-MH_B-DIN,2021-01-07,MH_B,Dinner,450,41,9.11,41.0,,409,,,,,False,True,False,Token_System
ATT-20210107-MH_G-BRE,07/01/2021,MH_G,Breakfast,300,49,16.33,,49.0,251,,,,,True,True,False,Manual_Count
ATT-20210107-MH_G-LUN,2021-01-07,MH_G,LUNCH,300,47,15.67,,47.0,253,,,,,True,True,False,Manual_Count
ATT-20210107-MH_G-SNA,2021-01-07,MH_G,Snacks,300,16,5.33,,16.0,284,,,,,True,False,False,Biometric
ATT-20210107-MH_G-DIN,2021-01-07,MH_G,Dinner,300,56,18.67,,56.0,244,,,,,False,True,False,Manual_Count
ATT-20210108-MH_A-BRE,"January 08, 2021",MH_A,Breakfast,450,207,46.0,207.0,,243,,,,,True,True,False,Biometric
ATT-20210108-MH_A-LUN,2021-01-08,MH_A,Lunch,450,306,68.0,306.0,,144,,,,,False,True,False,Biometric
ATT-20210108-MH_A-SNA,2021-01-08,MH_A,Snacks,450,163,36.22,163.0,,287,,,,,True,True,False,Manual_Count
ATT-20210108-MH_A-DIN,2021-01-08,MH_A,Dinner,450,272,60.44,272.0,,178,,,,,True,True,False,Manual_Count
ATT-20210108-MH_B-BRE,2021-01-08,MH_B,Breakfast,450,172,38.22,172.0,,278,,,,,True,True,False,Biometric
ATT-20210108-MH_B-LUN,"January 08, 2021",MH_B,Lunch,450,327,72.67,327.0,,123,,,,,True,True,False,Biometric
ATT-20210108-MH_B-SNA,"January 08, 2021",MH_B,SNACKS,450,130,28.89,130.0,,320,,,,,True,True,False,Biometric
ATT-20210108-MH_B-DIN,"January 08, 2021",MH_B,Dinner,450,250,55.56,250.0,,200,,,,,True,False,False,Biometric
ATT-20210108-MH_G-BRE,"January 08, 2021",MH_G,Breakfast,300,149,49.67,,149.0,151,,,,,True,False,False,Manual_Count
ATT-20210108-MH_G-LUN,"January 08, 2021",MH_G,Lunch,300,240,80.0,,240.0,60,,,,,True,False,False,Biometric
ATT-20210108-MH_G-SNA,2021-01-08,MH_G,Snacks,300,92,30.67,,92.0,208,,,,,False,True,False,Biometric
ATT-20210108-MH_G-DIN,2021-01-08,MH_G,Dinner,300,198,66.0,,198.0,102,,,,,False,True,False,Manual_Count
ATT-20210109-MH_A-BRE,"January 09, 2021",MH_A,Breakfast,450,124,27.56,124.0,,326,,,,,False,True,False,Biometric
ATT-20210109-MH_A-LUN,09/01/2021,MH_A,Lunch,450,219,48.67,219.0,,231,,,,,True,True,False,Biometric
ATT-20210109-MH_A-SNA,2021-01-09,MH_A,Snacks,450,87,19.33,87.0,,363,,,,,True,False,False,Biometric
ATT-20210109-MH_A-DIN,2021-01-09,MH_A,Dinner,450,194,43.11,194.0,,256,,,,,True,True,False,Manual_Count
ATT-20210109-MH_B-BRE,09/01/2021,MH_B,Breakfast,450,155,34.44,155.0,,295,,,,,False,True,False,Token_System
ATT-20210109-MH_B-LUN,"January 09, 2021",MH_B,Lunch,450,221,49.11,221.0,,229,,,,,False,True,False,Manual_Count
ATT-20210109-MH_B-SNA,"January 09, 2021",MH_B,Snacks,450,112,24.89,112.0,,338,,,,,False,True,False,Manual_Count
ATT-20210109-MH_B-DIN,2021-01-09,MH_B,Dinner,450,195,43.33,195.0,,255,,,,,False,True,False,Manual_Count
ATT-20210109-MH_G-BRE,2021-01-09,MH_G,Breakfast,300,93,31.0,,93.0,207,,,,,False,True,False,Biometric
ATT-20210109-MH_G-LUN,2021-01-09,MH_G,Lunch,300,169,56.33,,169.0,131,,,,,False,True,False,Manual_Count
ATT-20210109-MH_G-SNA,2021-01-09,MH_G,Snacks,300,313,104.33333333333333,,74.0,226,,,,,True,True,False,Manual_Count
ATT-20210109-MH_G-DIN,"January 09, 2021",MH_G,Dinner,300,134,44.67,,134.0,166,,,,,True,True,False,Manual_Count
ATT-20210110-MH_A-BRE,10/01/2021,MH_A,Breakfast,450,193,42.89,193.0,,257,,,,,False,True,False,Biometric
ATT-20210110-MH_A-LUN,2021-01-10,MH_A,Lunch,450,247,54.89,247.0,,203,,,,,True,True,False,Token_System
ATT-20210110-MH_A-SNA,2021-01-10,MH_A,Snacks,450,106,23.56,106.0,,344,,,,,False,True,False,Biometric
ATT-20210110-MH_A-DIN,"January 10, 2021",MH_A,Dinner,450,217,48.22,217.0,,233,,,,,False,True,False,Biometric
ATT-20210110-MH_B-BRE,10/01/2021,MH_B,Breakfast,450,175,38.89,175.0,,275,,,,,True,True,False,Biometric
ATT-20210110-MH_B-LUN,10/01/2021,MH_B,Lunch,450,288,64.0,288.0,,162,,,,,False,True,False,Manual_Count
ATT-20210110-MH_B-SNA,2021-01-10,MH_B,Snacks,450,118,26.22,118.0,,332,,,,,True,False,False,Biometric
ATT-20210110-MH_B-DIN,2021-01-10,MH_B,Dinner,450,227,50.44,227.0,,223,,,,,True,False,False,Manual_Count
ATT-20210110-MH_G-BRE,2021-01-10,MH_G,Breakfast,300,123,41.0,,123.0,177,,,,,False,False,False,Biometric
ATT-20210110-MH_G-LUN,10/01/2021,MH_G,lunch,300,207,69.0,,207.0,93,,,,,True,True,False,Token_System
ATT-20210110-MH_G-SNA,2021-01-10,MH_G,Snacks,300,88,29.33,,88.0,212,,,,,False,True,False,Token_System
ATT-20210110-MH_G-DIN,2021-01-10,MH_G,Dinner,300,196,65.33,,196.0,104,,,,,True,False,False,Biometric
ATT-20210111-MH_A-BRE,11/01/2021,MH_A,Breakfast,450,183,40.67,183.0,,267,,,,,True,True,False,Manual_Count
ATT-20210111-MH_A-LUN,2021-01-11,MH_A,Lunch,450,380,84.44,380.0,,70,,,,,False,True,False,Biometric
ATT-20210111-MH_A-SNA,2021-01-11,MH_A,Snacks,450,137,30.44,137.0,,313,,,,,True,False,False,Biometric
ATT-20210111-MH_A-DIN,11/01/2021,MH_A,Dinner,450,318,70.67,318.0,,132,,,,,False,True,False,Biometric
ATT-20210111-MH_B-BRE,"January 11, 2021",MH_B,Breakfast,450,244,54.22,244.0,,206,,,,,True,True,False,Biometric
ATT-20210111-MH_B-LUN,2021-01-11,MH_B,Lunch,450,348,77.33,348.0,,102,,,,,False,True,False,Biometric
ATT-20210111-MH_B-SNA,2021-01-11,MH_B,Snacks,450,146,32.44,146.0,,304,,,,,True,False,False,Biometric
ATT-20210111-MH_B-DIN,2021-01-11,MH_B,Dinner,450,299,66.44,299.0,,151,,,,,True,True,False,Token_System
ATT-20210111-MH_G-BRE,"January 11, 2021",MH_G,Breakfast,300,161,53.67,,161.0,139,,,,,True,True,False,Biometric
ATT-20210111-MH_G-LUN,2021-01-11,MH_G,Lunch,300,262,87.33,,262.0,38,,,,,False,True,False,Biometric
ATT-20210111-MH_G-SNA,2021-01-11,MH_G,Snacks,300,104,34.67,,104.0,196,,,,,True,True,False,Biometric
ATT-20210111-MH_G-DIN,"January 11, 2021",MH_G,Dinner,300,234,78.0,,234.0,66,,,,,True,True,False,Manual_Count
ATT-20210112-MH_A-BRE,"January 12, 2021",MH_A,Breakfast,450,144,32.0,144.0,,306,,,,,True,True,False,Biometric
ATT-20210112-MH_A-LUN,2021-01-12,MH_A,Lunch,450,256,56.89,256.0,,194,,,,,False,True,False,Token_System
ATT-20210112-MH_A-SNA,12/01/2021,MH_A,Snacks,450,111,24.67,111.0,,339,,,,,True,True,False,Biometric
ATT-20210112-MH_A-DIN,12/01/2021,MH_A,Dinner,450,242,53.78,242.0,,208,,,,,False,True,False,Biometric
ATT-20210112-MH_B-BRE,"January 12, 2021",MH_B,Breakfast,450,106,23.56,106.0,,344,,,,,False,True,False,Biometric
ATT-20210112-MH_B-LUN,2021-01-12,MH_B,Lunch,450,246,54.67,246.0,,204,,,,,False,False,False,Biometric
ATT-20210112-MH_B-SNA,2021-01-12,MH_B,Snacks,450,87,19.33,87.0,,363,,,,,True,True,False,Manual_Count
ATT-20210112-MH_B-DIN,"January 12, 2021",MH_B,Dinner,450,244,54.22,244.0,,206,,,,,False,False,False,Biometric
ATT-20210112-MH_G-BRE,2021-01-12,MH_G,Breakfast,300,78,26.0,,78.0,222,,,,,True,False,False,Biometric
ATT-20210112-MH_G-LUN,2021-01-12,MH_G,Lunch,300,172,57.33,,172.0,128,,,,,False,True,False,Biometric
ATT-20210112-MH_G-SNA,"January 12, 2021",MH_G,SNACKS,300,88,29.33,,88.0,212,,,,,False,True,False,Biometric
ATT-20210112-MH_G-DIN,12/01/2021,MH_G,Dinner,300,160,53.33,,160.0,140,,,,,True,True,False,Biometric
ATT-20210113-MH_A-BRE,2021-01-13,MH_A,breakfast,450,143,31.78,143.0,,307,,,,,False,True,False,Manual_Count
ATT-20210113-MH_A-LUN,"January 13, 2021",MH_A,Lunch,450,58,12.89,58.0,,392,,,,,False,True,False,Biometric
ATT-20210113-MH_A-SNA,13/01/2021,MH_A,Snacks,450,76,16.89,76.0,,374,,,,,False,True,False,Biometric
ATT-20210113-MH_A-DIN,"January 13, 2021",MH_A,Dinner,450,80,17.78,80.0,,370,,,,,False,True,False,Token_System
ATT-20210113-MH_B-BRE,2021-01-13,MH_B,Breakfast,450,47,10.44,47.0,,403,,,,,True,True,False,Manual_Count
ATT-20210113-MH_B-LUN,13/01/2021,MH_B,Lunch,450,91,20.22,91.0,,359,,,,,False,True,True,Biometric
ATT-20210113-MH_B-SNA,2021-01-13,MH_B,Snacks,450,77,17.11,77.0,,373,,,,,False,True,True,Biometric
ATT-20210113-MH_B-DIN,13/01/2021,MH_B,Dinner,450,65,14.44,65.0,,385,,,,,True,True,False,Biometric
ATT-20210113-MH_G-BRE,"January 13, 2021",MH_G,Breakfast,300,45,15.0,,45.0,255,,,,,True,True,True,Token_System
ATT-20210113-MH_G-LUN,2021-01-13,MH_G,Lunch,300,75,25.0,,75.0,225,,,,,True,False,False,Biometric
ATT-20210113-MH_G-SNA,13/01/2021,MH_G,Snacks,300,42,14.0,,42.0,258,,,,,False,True,False,Manual_Count
ATT-20210113-MH_G-DIN,2021-01-13,MH_G,Dinner,300,72,24.0,,72.0,228,,,,,False,True,False,Token_System
ATT-20210114-MH_A-BRE,2021-01-14,MH_A,Breakfast,450,96,21.33,96.0,,354,,,,,False,True,True,Token_System
ATT-20210114-MH_A-LUN,"January 14, 2021",MH_A,Lunch,450,131,29.11,131.0,,319,,,,,False,True,False,Biometric
ATT-20210114-MH_A-SNA,2021-01-14,MH_A,Snacks,450,66,14.67,66.0,,384,,,,,True,True,False,Biometric
ATT-20210114-MH_A-DIN,2021-01-14,MH_A,Dinner,450,51,11.33,51.0,,399,,,,,True,True,True,Manual_Count
ATT-20210114-MH_B-BRE,2021-01-14,MH_B,Breakfast,450,64,14.22,64.0,,386,,,,,True,True,False,Biometric
ATT-20210114-MH_B-LUN,2021-01-14,MH_B,Lunch,450,78,17.33,78.0,,372,,,,,True,False,False,Biometric
ATT-20210114-MH_B-SNA,"January 14, 2021",MH_B,Snacks,450,35,7.78,35.0,,415,,,,,True,True,False,Biometric
ATT-20210114-MH_B-DIN,2021-01-14,MH_B,Dinner,450,73,16.22,73.0,,377,,,,,True,True,False,Biometric
ATT-20210114-MH_G-BRE,2021-01-14,MH_G,Breakfast,300,76,25.33,,76.0,224,,,,,False,True,False,Biometric
ATT-20210114-MH_G-LUN,2021-01-14,MH_G,Lunch,300,71,23.67,,71.0,229,,,,,True,True,False,Biometric
ATT-20210114-MH_G-SNA,2021-01-14,MH_G,Snacks,300,47,15.67,,47.0,253,,,,,True,True,False,Token_System
ATT-20210114-MH_G-DIN,2021-01-14,MH_G,Dinner,300,38,12.67,,38.0,262,,,,,True,True,False,Biometric
ATT-20210115-MH_A-BRE,15/01/2021,MH_A,Breakfast,450,75,16.67,75.0,,375,,,,,False,False,False,Token_System
ATT-20210115-MH_A-LUN,2021-01-15,MH_A,Lunch,450,115,25.56,115.0,,335,,,,,True,True,True,Manual_Count
ATT-20210115-MH_A-SNA,15/01/2021,MH_A,Snacks,450,28,6.22,28.0,,422,,,,,True,True,False,Token_System
ATT-20210115-MH_A-DIN,15/01/2021,MH_A,Dinner,450,109,24.22,109.0,,341,,,,,False,True,False,Biometric
ATT-20210115-MH_B-BRE,2021-01-15,MH_B,Breakfast,450,68,15.11,68.0,,382,,,,,False,True,False,Biometric
ATT-20210115-MH_B-LUN,2021-01-15,MH_B,Lunch,450,95,21.11,95.0,,355,,,,,True,True,True,Biometric
ATT-20210115-MH_B-SNA,2021-01-15,MH_B,Snacks,450,51,11.33,51.0,,399,,,,,True,True,True,Manual_Count
ATT-20210115-MH_B-DIN,2021-01-15,MH_B,Dinner,450,104,23.11,104.0,,346,,,,,False,True,False,Biometric
ATT-20210115-MH_G-BRE,2021-01-15,MH_G,Breakfast,300,37,12.33,,37.0,263,,,,,True,True,False,Biometric
ATT-20210115-MH_G-LUN,15/01/2021,MH_G,Lunch,300,56,18.67,,56.0,244,,,,,True,True,True,Biometric
ATT-20210115-MH_G-SNA,2021-01-15,MH_G,Snacks,300,21,7.0,,21.0,279,,,,,True,True,True,Biometric
ATT-20210115-MH_G-DIN,2021-01-15,MH_G,Dinner,300,61,20.33,,61.0,239,,,,,True,True,False,Biometric
ATT-20210116-MH_A-BRE,16/01/2021,MH_A,Breakfast,450,83,18.44,83.0,,367,,,,,True,True,False,Manual_Count
ATT-20210116-MH_A-LUN,16/01/2021,MH_A,Lunch,450,124,27.56,124.0,,326,,,,,False,False,False,Biometric
ATT-20210116-MH_A-SNA,16/01/2021,MH_A,Snacks,450,57,12.67,57.0,,393,,,,,True,True,False,Biometric
ATT-20210116-MH_A-DIN,16/01/2021,MH_A,Dinner,450,119,26.44,119.0,,331,,,,,True,True,False,Manual_Count
ATT-20210116-MH_B-BRE,2021-01-16,MH_B,Breakfast,450,85,18.89,85.0,,365,,,,,True,True,False,Biometric
ATT-20210116-MH_B-LUN,"January 16, 2021",MH_B,Lunch,450,149,33.11,149.0,,301,,,,,False,True,False,Biometric
ATT-20210116-MH_B-SNA,2021-01-16,MH_B,Snacks,450,53,11.78,53.0,,397,,,,,False,True,False,Biometric
ATT-20210116-MH_B-DIN,16/01/2021,MH_B,Dinner,450,138,30.67,138.0,,312,,,,,True,True,False,Token_System
ATT-20210116-MH_G-BRE,"January 16, 2021",MH_G,Breakfast,300,66,22.0,,66.0,234,,,,,False,False,False,Biometric
ATT-20210116-MH_G-LUN,2021-01-16,MH_G,Lunch,300,88,29.33,,88.0,212,,,,,False,True,False,Manual_Count
ATT-20210116-MH_G-SNA,2021-01-16,MH_G,Snacks,300,35,11.67,,35.0,265,,,,,False,True,False,Biometric
ATT-20210116-MH_G-DIN,2021-01-16,MH_G,Dinner,300,81,27.0,,81.0,219,,,,,True,True,False,Biometric
ATT-20210117-MH_A-BRE,2021-01-17,MH_A,Breakfast,450,79,17.56,79.0,,371,,,,,True,True,False,Biometric
ATT-20210117-MH_A-LUN,2021-01-17,MH_A,Lunch,450,172,38.22,172.0,,278,,,,,True,True,False,Biometric
ATT-20210117-MH_A-SNA,2021-01-17,MH_A,Snacks,450,59,13.11,59.0,,391,,,,,False,True,False,Biometric
ATT-20210117-MH_A-DIN,17/01/2021,MH_A,Dinner,450,118,26.22,118.0,,332,,,,,True,False,False,Biometric
ATT-20210117-MH_B-BRE,17/01/2021,MH_B,Breakfast,450,72,16.0,72.0,,378,,,,,True,False,False,Biometric
ATT-20210117-MH_B-LUN,"January 17, 2021",MH_B,Lunch,450,168,37.33,168.0,,282,,,,,False,True,False,Token_System
ATT-20210117-MH_B-SNA,2021-01-17,MH_B,Snacks,450,60,13.33,60.0,,390,,,,,False,False,False,Biometric
ATT-20210117-MH_B-DIN,17/01/2021,MH_B,Dinner,450,133,29.56,133.0,,317,,,,,True,True,False,Biometric
ATT-20210117-MH_G-BRE,17/01/2021,MH_G,Breakfast,300,71,23.67,,71.0,229,,,,,False,True,False,Biometric
ATT-20210117-MH_G-LUN,17/01/2021,MH_G,Lunch,300,114,38.0,,114.0,186,,,,,False,True,False,Biometric
ATT-20210117-MH_G-SNA,2021-01-17,MH_G,Snacks,300,52,17.33,,52.0,248,,,,,True,True,False,Biometric
ATT-20210117-MH_G-DIN,2021-01-17,MH_G,Dinner,300,74,24.67,,74.0,226,,,,,False,True,False,Manual_Count
ATT-20210118-MH_A-BRE,2021-01-18,MH_A,Breakfast,450,72,16.0,72.0,,378,,,,,True,False,False,Manual_Count
ATT-20210118-MH_A-LUN,"January 18, 2021",MH_A,Lunch,450,171,38.0,171.0,,279,,,,,False,False,False,Biometric
ATT-20210118-MH_A-SNA,"January 18, 2021",MH_A,Snacks,450,61,13.56,61.0,,389,,,,,False,True,False,Biometric
ATT-20210118-MH_A-DIN,"January 18, 2021",MH_A,Dinner,450,180,40.0,180.0,,270,,,,,True,True,False,Biometric
ATT-20210118-MH_B-BRE,2021-01-18,MH_B,Breakfast,450,60,13.33,60.0,,390,,,,,True,True,False,Manual_Count
