Feedback_ID,Date,Student_ID,Mess_Hall_ID,Meal_Type,Menu_Item,Food_Type_Rated,Taste_Rating,Freshness_Rating,Hygiene_Rating,Quantity_Adequate,Temperature_Appropriate,Smell_Rating,Overall_Rating,Cross_Contamination_Complaint,Would_Eat_Again,Would_Prefer_Veg_Alternative,Portion_Size_Feedback,Comments,Survey_Channel,Submission_Timestamp
FB-0000014,2021-01-11,S1376,MH_A,Lunch,Prawn Masala,Non_Veg,4,3,3,2,,,4.0,False,False,,Just_Right,too oily,In_Person,2021-01-11 14:53
FB-0000015,2021-01-11,S1610,MH_A,Breakfast,Bhel Puri,Veg,2,3,5,3,,,4.0,False,False,,Too_Little,,QR_Code,2021-01-11 09:17
FB-0000016,2021-01-11,S1610,MH_A,Breakfast,Bread-Omelette,Egg,2,4,5,4,,,2.0,False,False,,Just_Right,,In_Person,2021-01-11 07:38
FB-0000017,"January 11, 2021",S3387,MH_A,Lunch,Chicken Biryani,Non_Veg,2,4,5,2,,,4.0,False,False,True,Too_Little,,QR_Code,2021-01-11 13:45
FB-0000018,2021-01-11,S3387,MH_A,Lunch,Egg Bhurji,Egg,5,5,4,4,,,,False,True,,,,QR_Code,2021-01-11 14:53
FB-0000019,2021-01-11,S2917,MH_A,Breakfast,Rava Idli,Veg,4,2,4,4,,,2.0,False,True,,Too_Much,,QR_Code,2021-01-11 08:35
FB-0000020,11/01/2021,S2917,MH_A,Breakfast,Upma,Veg,1,2,4,4,,,2.0,False,False,,Too_Much,,In_Person,2021-01-11 09:04
FB-0000021,"January 11, 2021",S3096,MH_A,Snacks,Dosa,Veg,2,1,3,3,,,4.0,False,False,,Just_Right,,QR_Code,2021-01-11 17:26
FB-0000022,11/01/2021,S3096,MH_A,Snacks,Boiled Eggs,Egg,4,4,3,2,,,2.0,False,True,,,undercooked,In_Person,2021-01-11 17:29
FB-0000023,2021-01-11,S2597,MH_A,Dinner,Chicken Biryani,Non_Veg,1,3,2,4,,,5.0,False,True,,Too_Little,,In_Person,2021-01-11 21:00
FB-0000024,2021-01-11,S2597,MH_A,Dinner,Boiled Eggs,Egg,5,3,4,3,,,4.0,False,True,,Just_Right,,QR_Code,2021-01-11 22:26
FB-0000025,2021-01-11,S2597,MH_A,Dinner,Aloo Gobi,Veg,4,2,1,1,,,3.0,False,True,,Too_Much,too oily,QR_Code,2021-01-11 21:58
FB-0000026,11/01/2021,S3316,MH_A,Snacks,Dosa,Veg,4,2,4,4,,,4.0,False,True,,Just_Right,,QR_Code,2021-01-11 18:06
FB-0000027,2021-01-11,S3316,MH_A,Snacks,Tea,Veg,2,4,5,2,,,2.0,False,False,,,,QR_Code,2021-01-11 18:52
FB-0000028,2021-01-11,S1418,MH_A,Lunch,Keema Matar,Non_Veg,4,3,5,5,,,4.0,False,False,True,Just_Right,,QR_Code,2021-01-11 12:50
FB-0000029,2021-01-11,S1418,MH_A,Lunch,Mixed Veg,Veg,5,4,4,2,,,2.0,False,True,,Just_Right,,QR_Code,2021-01-11 14:34
FB-0000030,2021-01-11,S1418,MH_A,Lunch,Mutton Curry,Non_Veg,5,4,4,5,,,5.0,False,False,True,Just_Right,cross-contamination,In_Person,2021-01-11 14:08
FB-0000031,2021-01-11,S1134,MH_A,Breakfast,Dosa,Veg,4,4,4,3,,,2.0,False,True,,Too_Little,undercooked,QR_Code,2021-01-11 08:33
FB-0000032,2021-01-11,,MH_A,Breakfast,Egg Bhurji,Egg,2,5,2,1,,,3.0,False,True,,Just_Right,very tasty,QR_Code,2021-01-11 09:07
FB-0000033,2021-01-11,,MH_A,Snacks,Dosa,Veg,4,2,3,3,,,1.0,False,True,,Just_Right,,QR_Code,2021-01-11 17:47
FB-0000034,2021-01-11,S3872,MH_A,Snacks,Poha,Veg,2,1,4,5,,,4.0,False,False,,Just_Right,,QR_Code,2021-01-11 17:37
FB-0000035,11/01/2021,S3872,MH_A,Snacks,Upma,Veg,4,5,2,1,,,2.0,False,False,,Just_Right,,In_Person,2021-01-11 18:28
FB-0000036,2021-01-11,S3291,MH_A,Snacks,Egg Fried Rice,Egg,1,4,4,5,,,5.0,False,True,,Just_Right,,App,2021-01-11 18:02
FB-0000037,2021-01-11,S3291,MH_A,Snacks,Tea,Veg,5,5,4,2,,,4.0,False,True,,,,QR_Code,2021-01-11 18:09
FB-0000038,11/01/2021,S3291,MH_A,Snacks,Egg Curry,Egg,5,4,3,1,,,5.0,False,False,,Too_Little,,In_Person,2021-01-11 18:41
FB-0000039,11/01/2021,S1018,MH_A,Snacks,Samosa,Veg,4,2,4,5,,,5.0,False,True,,,cold,QR_Code,2021-01-11 17:20
FB-0000040,2021-01-11,S1018,MH_A,Snacks,Cornflakes,Veg,4,3,5,2,,,,False,True,,,,QR_Code,2021-01-11 18:34
FB-0000041,2021-01-11,S1018,MH_A,Snacks,Aloo Paratha,Veg,3,4,3,4,,,5.0,False,True,,Just_Right,,QR_Code,2021-01-11 17:09
FB-0000042,2021-01-11,S1501,MH_A,Dinner,Chole Bhature,Veg,1,2,4,3,,,5.0,False,True,,Just_Right,very tasty,QR_Code,2021-01-11 20:36
FB-0000043,11/01/2021,S1501,MH_A,Dinner,Fish Fry,Non_Veg,5,3,4,4,,,4.0,False,True,False,Just_Right,no salt,QR_Code,2021-01-11 20:27
FB-0000044,11/01/2021,S1501,MH_A,Dinner,Aloo Dum,Veg,2,1,2,3,,,4.0,False,False,,Just_Right,,QR_Code,2021-01-11 21:34
FB-0000045,2021-01-11,S1255,MH_A,Dinner,Chicken Biryani,Non_Veg,5,1,3,5,,,5.0,False,False,True,Just_Right,,App,2021-01-11 20:07
FB-0000046,"January 11, 2021",S1255,MH_A,Dinner,Dosa,Veg,2,3,4,3,,,2.0,False,False,,Just_Right,,QR_Code,2021-01-11 21:10
FB-0000047,2021-01-11,,MH_A,Lunch,Mutton Curry,Non_Veg,1,5,2,2,,,1.0,False,False,True,Just_Right,,In_Person,2021-01-11 14:17
FB-0000048,"January 11, 2021",S3876,MH_A,Lunch,Egg Bhurji,Egg,4,3,3,5,,,2.0,False,True,,Just_Right,bland,QR_Code,2021-01-11 14:59
FB-0000049,"January 11, 2021",S3876,MH_A,Lunch,Egg Fried Rice,Egg,1,4,3,4,,,5.0,False,False,,Just_Right,,App,2021-01-11 13:13
FB-0000050,11/01/2021,S1156,MH_A,Lunch,Chole Bhature,Veg,2,5,4,2,,,2.0,False,False,,Just_Right,,In_Person,2021-01-11 13:08
FB-0000051,2021-01-11,S1156,MH_A,Lunch,Chicken Soup,Non_Veg,4,3,4,3,,,5.0,False,False,True,Just_Right,not fresh,QR_Code,2021-01-11 13:32
FB-0000052,2021-01-11,S2745,MH_A,Lunch,Dal Tadka,Veg,4,3,3,4,,,4.0,False,False,,Just_Right,not fresh,QR_Code,2021-01-11 13:26
FB-0000053,2021-01-11,S2745,MH_A,Lunch,Mutton Curry,Non_Veg,1,3,4,3,,,1.0,False,False,True,Just_Right,,In_Person,2021-01-11 12:32
FB-0000054,2021-01-11,S2745,MH_A,Lunch,Keema Matar,Non_Veg,2,3,5,2,,,4.0,False,True,,Just_Right,no salt,In_Person,2021-01-11 13:19
FB-0000055,2021-01-11,S1011,MH_A,Dinner,Mutton Curry,Non_Veg,2,1,4,1,,,5.0,False,False,,Just_Right,,QR_Code,2021-01-11 22:03
FB-0000056,2021-01-11,S1011,MH_A,Dinner,Jain Sabzi,Jain,2,3,4,4,,,2.0,False,False,,Just_Right,too oily,In_Person,2021-01-11 20:52
FB-0000057,11/01/2021,S2434,MH_A,Lunch,Keema Matar,Non_Veg,1,5,3,2,,,4.0,False,False,False,Just_Right,,In_Person,2021-01-11 13:15
FB-0000058,2021-01-11,S2434,MH_A,Lunch,Chicken Masala,Non_Veg,3,5,5,2,,,3.0,False,True,False,Too_Little,no salt,In_Person,2021-01-11 12:41
FB-0000059,2021-01-11,S1272,MH_A,Snacks,Fruit Plate,Vegan,3,4,5,5,,,5.0,False,False,,Just_Right,,In_Person,2021-01-11 17:45
FB-0000060,2021-01-11,,MH_A,Snacks,Idli-Sambar,Veg,3,4,4,3,,,4.0,False,True,,Just_Right,cold,In_Person,2021-01-11 17:29
FB-0000061,"January 11, 2021",S1077,MH_A,Lunch,Mixed Veg,Veg,3,4,2,2,,,3.0,False,True,,Too_Little,,QR_Code,2021-01-11 14:35
FB-0000062,"January 11, 2021",S1077,MH_A,Lunch,Egg Fried Rice,Egg,3,1,5,4,,,3.0,False,False,,Just_Right,,In_Person,2021-01-11 12:34
FB-0000063,2021-01-11,S1077,MH_A,Lunch,Idli-Sambar,Veg,2,4,1,1,,,4.0,False,False,,,,QR_Code,2021-01-11 12:32
FB-0000064,"January 11, 2021",S1745,MH_A,Snacks,Tea,Veg,1,3,3,3,,,4.0,False,False,,,,App,2021-01-11 17:31
FB-0000065,11/01/2021,S1745,MH_A,Snacks,Coffee,Veg,5,3,5,4,,,5.0,False,True,,,,In_Person,2021-01-11 17:57
FB-0000066,2021-01-11,,MH_A,Snacks,Bread-Omelette,Egg,4,3,4,5,,,2.0,False,True,,Just_Right,,App,2021-01-11 17:57
FB-0000067,2021-01-11,,MH_A,Dinner,Chole Bhature,Veg,2,1,5,4,,,4.0,False,False,,Just_Right,no salt,QR_Code,2021-01-11 22:13
FB-0000068,2021-01-11,S2663,MH_A,Dinner,Aloo Dum,Veg,1,4,3,2,,,1.0,False,True,,Just_Right,,In_Person,2021-01-11 20:18
FB-0000069,2021-01-11,S2663,MH_A,Dinner,Fish Fry,Non_Veg,1,2,3,4,,,4.0,False,False,,Just_Right,very tasty,QR_Code,2021-01-11 21:49
FB-0000070,2021-01-11,S2534,MH_A,Dinner,Egg Curry,Egg,4,1,3,3,,,2.0,False,False,,Just_Right,,QR_Code,2021-01-11 21:28
FB-0000071,11/01/2021,S2534,MH_A,Dinner,Dosa,Veg,3,2,4,5,,,4.0,False,True,,Just_Right,,In_Person,2021-01-11 21:36
FB-0000072,2021-01-11,S2534,MH_A,Dinner,Egg Bhurji,Egg,5,1,5,3,,,2.0,False,False,,Just_Right,cold,QR_Code,2021-01-11 21:06
FB-0000073,"January 11, 2021",S2205,MH_A,Dinner,Chicken Biryani,Non_Veg,1,2,4,3,,,4.0,False,False,,Too_Little,,In_Person,2021-01-11 22:19
FB-0000074,2021-01-11,S2205,MH_A,Dinner,Idli-Sambar,Veg,5,4,3,2,,,5.0,False,False,,Too_Little,,QR_Code,2021-01-11 22:11
FB-0000075,2021-01-11,S2205,MH_A,Dinner,Egg Curry,Egg,2,1,2,4,,,3.0,True,True,,,,QR_Code,2021-01-11 21:24
FB-0000076,"January 11, 2021",S3520,MH_A,Lunch,Khichdi,Veg,4,3,5,5,,,5.0,False,False,,Just_Right,,QR_Code,2021-01-11 13:44
FB-0000077,"January 11, 2021",S3520,MH_A,Lunch,Aloo Dum,Veg,4,4,3,5,,,4.0,False,True,,Too_Little,,QR_Code,2021-01-11 14:28
FB-0000078,"January 11, 2021",S3520,MH_A,Lunch,Jain Dal,Jain,2,1,5,4,,,4.0,False,False,,,,QR_Code,2021-01-11 14:20
FB-0000079,11/01/2021,S2726,MH_A,Lunch,Paneer Curry,Veg,2,4,3,2,,,4.0,False,False,,Just_Right,excellent,QR_Code,2021-01-11 13:51
FB-0000080,2021-01-11,S2726,MH_A,Lunch,Dal Fry,Veg,4,2,4,3,,,3.0,False,True,,Just_Right,,In_Person,2021-01-11 14:18
FB-0000081,2021-01-11,S1432,MH_A,Dinner,Egg Curry,Egg,2,2,4,3,,,1.0,False,False,,Too_Little,,QR_Code,2021-01-11 22:03
FB-0000082,2021-01-11,S1432,MH_A,Dinner,Mixed Veg,Veg,4,4,1,4,,,3.0,False,True,,Just_Right,,QR_Code,2021-01-11 21:50
FB-0000083,2021-01-11,S5239,MH_A,Dinner,Dal Fry,Veg,1,4,1,4,,,,False,True,,,,In_Person,2021-01-11 20:13
FB-0000084,2021-01-11,S1006,MH_A,Snacks,Samosa,Veg,3,4,3,4,,,5.0,False,False,,,,In_Person,2021-01-11 18:04
FB-0000085,2021-01-11,S1006,MH_A,Snacks,Bhel Puri,Veg,4,5,4,5,,,3.0,False,False,,Too_Little,,QR_Code,2021-01-11 17:33
FB-0000086,11/01/2021,S1006,MH_A,Snacks,Upma,Veg,2,3,3,4,,,3.0,False,True,,,,In_Person,2021-01-11 18:38
FB-0000087,2021-01-11,S3734,MH_A,Snacks,Rava Idli,Veg,1,4,4,3,,,5.0,False,False,,Just_Right,,QR_Code,2021-01-11 17:57
FB-0000088,2021-01-11,S3734,MH_A,Snacks,Puri-Sabzi,Veg,3,1,4,2,,,4.0,False,True,,,,In_Person,2021-01-11 18:54
FB-0000089,"January 11, 2021",S3505,MH_A,Breakfast,Coffee,Veg,4,3,3,5,,,4.0,False,False,,Just_Right,,QR_Code,2021-01-11 07:29
FB-0000090,11/01/2021,S3505,MH_A,Breakfast,Rava Idli,Veg,3,4,4,2,,,1.0,False,True,,Just_Right,,QR_Code,2021-01-11 08:46
FB-0000091,11/01/2021,S3888,MH_A,Breakfast,Fruit Plate,Vegan,4,4,4,4,,,5.0,False,False,,,,In_Person,2021-01-11 07:24
FB-0000092,2021-01-11,S3888,MH_A,Breakfast,Idli-Sambar,Veg,5,3,3,4,,,3.0,False,True,,Just_Right,cold,In_Person,2021-01-11 08:17
FB-0000093,11/01/2021,S1782,MH_A,Snacks,Samosa,Veg,2,2,4,2,,,5.0,False,True,,Just_Right,cross-contamination,In_Person,2021-01-11 18:58
FB-0000094,"January 11, 2021",S1782,MH_A,Snacks,Egg Fried Rice,Egg,5,3,2,4,,,3.0,True,True,,Too_Much,not fresh,QR_Code,2021-01-11 18:13
FB-0000095,2021-01-11,S2270,MH_A,Lunch,Dosa,Veg,3,4,4,3,,,5.0,False,True,,Too_Little,,QR_Code,2021-01-11 12:49
FB-0000096,2021-01-11,S2270,MH_A,Lunch,Keema Matar,Non_Veg,1,5,4,5,,,4.0,False,False,True,,very tasty,QR_Code,2021-01-11 14:26
FB-0000097,2021-01-11,,MH_A,Lunch,Palak Paneer,Veg,5,2,3,3,,,4.0,False,False,,,cold,QR_Code,2021-01-11 14:40
FB-0000098,2021-01-11,S3193,MH_A,Lunch,Mixed Veg,Veg,5,1,2,4,,,,False,True,,Too_Little,,In_Person,2021-01-11 14:10
FB-0000099,"January 11, 2021",,MH_A,Snacks,Poha,Veg,5,4,2,1,,,2.0,False,True,,Too_Little,,QR_Code,2021-01-11 18:47
FB-0000100,2021-01-11,S2858,MH_A,Snacks,Poha,Veg,4,2,5,2,,,2.0,False,True,,,,In_Person,2021-01-11 17:06
FB-0000101,"January 11, 2021",S2858,MH_A,Snacks,Egg Bhurji,Egg,5,3,4,3,,,3.0,False,True,,Too_Little,not fresh,QR_Code,2021-01-11 18:36
FB-0000102,2021-01-11,S1960,MH_B,Dinner,Dal Fry,Veg,1,4,4,4,,,3.0,False,False,,Just_Right,cross-contamination,QR_Code,2021-01-11 20:17
FB-0000103,2021-01-11,S1960,MH_B,Dinner,Sambar Rice,Veg,1,3,5,2,,,2.0,False,True,,Just_Right,,QR_Code,2021-01-11 20:34
FB-0000104,2021-01-11,S2547,MH_B,Breakfast,Egg Curry,Egg,2,3,5,3,,,4.0,False,False,,Just_Right,cold,QR_Code,2021-01-11 09:16
FB-0000105,2021-01-11,S2547,MH_B,Breakfast,Boiled Eggs,Egg,2,4,2,3,,,4.0,False,False,,Just_Right,,QR_Code,2021-01-11 08:38
FB-0000106,2021-01-11,S1780,MH_B,Breakfast,Aloo Paratha,Veg,4,3,3,5,,,,False,False,,Too_Little,,QR_Code,2021-01-11 09:22
FB-0000107,2021-01-11,S1780,MH_B,Breakfast,Egg Bhurji,Egg,3,5,4,2,,,3.0,False,True,,,,QR_Code,2021-01-11 09:21
FB-0000108,2021-01-11,S1780,MH_B,Breakfast,Coffee,Veg,3,5,4,3,,,2.0,False,True,,,bland,QR_Code,2021-01-11 07:15
FB-0000109,2021-01-11,S2425,MH_B,Breakfast,Egg Bhurji,Egg,2,5,3,5,,,4.0,False,False,,Just_Right,,QR_Code,2021-01-11 08:44
FB-0000110,"January 11, 2021",,MH_B,Breakfast,Egg Curry,Egg,5,2,3,2,,,5.0,False,True,,Just_Right,,App,2021-01-11 07:10
FB-0000111,2021-01-11,S1819,MH_B,Lunch,Chana Masala,Veg,1,5,4,2,,,4.0,False,False,,Just_Right,,QR_Code,2021-01-11 14:03
FB-0000112,2021-01-11,S1819,MH_B,Lunch,Keema Matar,Non_Veg,2,4,4,2,,,,False,False,,Just_Right,,In_Person,2021-01-11 14:58
FB-0000113,11/01/2021,S1566,MH_B,Lunch,Boiled Eggs,Egg,1,3,4,2,,,5.0,False,False,,Too_Much,,QR_Code,2021-01-11 14:01
FB-0000114,2021-01-11,S1566,MH_B,Lunch,Chana Masala,Veg,5,4,3,4,,,4.0,False,True,,,too oily,QR_Code,2021-01-11 14:41
FB-0000115,2021-01-11,S1566,MH_B,Lunch,Paneer Curry,Veg,2,5,4,5,,,2.0,False,False,,Too_Little,,QR_Code,2021-01-11 12:56
FB-0000116,2021-01-11,S3186,MH_B,Lunch,Khichdi,Veg,2,3,3,2,,,2.0,True,False,,Just_Right,very tasty,QR_Code,2021-01-11 14:19
FB-0000117,11/01/2021,S3186,MH_B,Lunch,Chicken Masala,Non_Veg,1,1,4,1,,,1.0,False,False,,Too_Little,,QR_Code,2021-01-11 13:51
FB-0000118,2021-01-11,S3186,MH_B,Lunch,Mutton Curry,Non_Veg,1,1,4,1,,,1.0,False,False,,Too_Much,no salt,In_Person,2021-01-11 14:40
FB-0000119,2021-01-11,,MH_B,Breakfast,Coffee,Veg,1,3,4,4,,,2.0,False,False,,Just_Right,,QR_Code,2021-01-11 07:16
FB-0000120,2021-01-11,S2588,MH_B,Breakfast,Upma,Veg,4,2,1,1,,,1.0,False,True,,Just_Right,not fresh,QR_Code,2021-01-11 07:42
FB-0000121,2021-01-11,S2588,MH_B,Breakfast,Poha,Veg,4,1,3,1,,,2.0,False,True,,Too_Much,stale,QR_Code,2021-01-11 09:14
FB-0000122,2021-01-11,S2431,MH_B,Dinner,Roti-Sabzi,Veg,5,2,2,5,,,5.0,False,True,,,,In_Person,2021-01-11 21:48
FB-0000123,2021-01-11,S2431,MH_B,Dinner,Mixed Veg,Veg,4,3,4,2,,,4.0,False,False,,,,QR_Code,2021-01-11 21:56
FB-0000124,2021-01-11,S2431,MH_B,Dinner,Idli-Sambar,Veg,4,2,4,5,,,5.0,False,False,,Just_Right,too oily,In_Person,2021-01-11 22:10
FB-0000125,2021-01-11,S3101,MH_B,Breakfast,Cornflakes,Veg,2,2,4,4,,,1.0,False,True,,Just_Right,,QR_Code,2021-01-11 09:07
FB-0000126,"January 11, 2021",S3101,MH_B,Breakfast,Egg Fried Rice,Egg,1,5,3,3,,,2.0,False,False,,Too_Little,no salt,QR_Code,2021-01-11 07:59
FB-0000127,11/01/2021,S3101,MH_B,Breakfast,Rava Idli,Veg,1,5,5,3,,,3.0,False,False,,Too_Little,cross-contamination,QR_Code,2021-01-11 07:06
FB-0000128,11/01/2021,S2212,MH_B,Breakfast,Poha,Veg,3,4,3,4,,,4.0,False,True,,Too_Little,,QR_Code,2021-01-11 07:43
FB-0000129,2021-01-11,S2212,MH_B,Breakfast,Egg Fried Rice,Egg,5,4,4,5,,,,False,True,,,,QR_Code,2021-01-11 07:08
FB-0000130,2021-01-11,S1796,MH_B,Lunch,Jain Dal,Jain,5,2,5,4,,,1.0,False,True,,Just_Right,,In_Person,2021-01-11 14:54
FB-0000131,2021-01-11,S1796,MH_B,Lunch,Idli-Sambar,Veg,4,2,4,4,,,2.0,False,False,,Too_Much,,In_Person,2021-01-11 14:26
FB-0000132,"January 11, 2021",S1796,MH_B,Lunch,Aloo Dum,Veg,4,4,4,5,,,5.0,False,True,,Too_Little,no salt,In_Person,2021-01-11 13:47
FB-0000133,2021-01-11,S3449,MH_B,Dinner,Aloo Gobi,Veg,5,4,4,1,,,3.0,False,True,,Too_Little,bland,In_Person,2021-01-11 20:35
FB-0000134,2021-01-11,S3449,MH_B,Dinner,Dal Tadka,Veg,5,1,4,2,,,5.0,False,False,,Too_Little,very tasty,QR_Code,2021-01-11 20:08
FB-0000135,2021-01-11,S3139,MH_B,Breakfast,Bread-Butter,Veg,4,3,4,2,,,5.0,False,True,,Just_Right,,In_Person,2021-01-11 08:38
FB-0000136,2021-01-11,S3139,MH_B,Breakfast,Egg Bhurji,Egg,4,1,4,2,,,3.0,False,False,,,,QR_Code,2021-01-11 08:32
FB-0000137,2021-01-11,S3139,MH_B,Breakfast,Fruit Plate,Vegan,2,5,2,5,,,5.0,False,False,,,very tasty,QR_Code,2021-01-11 08:13
FB-0000138,2021-01-11,S2691,MH_B,Snacks,Aloo Paratha,Veg,5,4,5,5,,,2.0,False,False,,Too_Little,stale,In_Person,2021-01-11 17:32
FB-0000139,2021-01-11,S2691,MH_B,Snacks,Puri-Sabzi,Veg,4,3,3,5,,,4.0,False,True,,,stale,In_Person,2021-01-11 18:20
FB-0000140,2021-01-11,S1856,MH_B,Breakfast,Egg Bhurji,Egg,4,2,5,3,,,5.0,False,False,,Too_Little,,QR_Code,2021-01-11 08:08
FB-0000141,11/01/2021,S1856,MH_B,Breakfast,Samosa,Veg,4,4,4,4,,,1.0,False,False,,Too_Little,very tasty,In_Person,2021-01-11 07:14
FB-0000142,2021-01-11,S1856,MH_B,Breakfast,Idli-Sambar,Veg,2,4,3,4,,,5.0,False,False,,Too_Much,undercooked,QR_Code,2021-01-11 07:36
FB-0000143,11/01/2021,S2979,MH_B,Breakfast,Fruit Plate,Vegan,4,2,4,2,,,4.0,False,False,,,,QR_Code,2021-01-11 09:12
FB-0000144,2021-01-11,S2979,MH_B,Breakfast,Puri-Sabzi,Veg,4,1,5,1,,,2.0,False,False,,Just_Right,stale,QR_Code,2021-01-11 07:36
FB-0000145,2021-01-11,S1078,MH_B,Breakfast,Poha,Veg,5,4,4,4,,,4.0,False,True,,,,QR_Code,2021-01-11 08:56
FB-0000146,2021-01-11,S1078,MH_B,Breakfast,Tea,Veg,1,2,3,4,,,3.0,False,False,,Just_Right,,In_Person,2021-01-11 07:12
FB-0000147,2021-01-11,S2388,MH_B,Dinner,Bread-Omelette,Egg,4,2,2,3,,,4.0,False,True,,Just_Right,,QR_Code,2021-01-11 21:50
FB-0000148,2021-01-11,S2388,MH_B,Dinner,Egg Curry,Egg,5,3,4,3,,,3.0,False,False,,Too_Little,very tasty,QR_Code,2021-01-11 20:06
FB-0000149,"January 11, 2021",S2388,MH_B,Dinner,Palak Paneer,Veg,4,3,5,5,,,3.0,False,False,,Too_Much,,QR_Code,2021-01-11 21:37
FB-0000150,2021-01-11,S2148,MH_B,Dinner,Aloo Gobi,Veg,1,2,5,4,,,5.0,False,False,,Just_Right,very tasty,QR_Code,2021-01-11 21:02
FB-0000151,2021-01-11,S2148,MH_B,Dinner,Baingan Bharta,Veg,3,1,4,3,,,3.0,False,False,,Just_Right,,QR_Code,2021-01-11 21:40
FB-0000152,2021-01-11,S2806,MH_B,Lunch,Egg Curry,Egg,2,3,5,5,,,2.0,False,False,,Just_Right,,QR_Code,2021-01-11 13:49
FB-0000153,2021-01-11,,MH_B,Lunch,Sambar Rice,Veg,5,2,3,5,,,4.0,False,True,,Just_Right,,QR_Code,2021-01-11 14:40
FB-0000154,11/01/2021,S1548,MH_B,Snacks,Boiled Eggs,Egg,1,1,2,2,,,4.0,False,False,,Too_Little,,App,2021-01-11 17:08
FB-0000155,11/01/2021,S1548,MH_B,Snacks,Egg Curry,Egg,5,5,4,3,,,5.0,False,False,,Just_Right,cold,QR_Code,2021-01-11 17:12
FB-0000156,11/01/2021,S2784,MH_B,Dinner,Boiled Eggs,Egg,4,3,4,2,,,3.0,False,True,,Just_Right,undercooked,QR_Code,2021-01-11 20:58
FB-0000157,2021-01-11,S2784,MH_B,Dinner,Mixed Veg,Veg,1,3,3,4,,,1.0,True,False,,Too_Much,,In_Person,2021-01-11 20:30
FB-0000158,2021-01-11,S2784,MH_B,Dinner,Dal Fry,Veg,4,1,1,4,,,5.0,True,True,,Just_Right,no salt,QR_Code,2021-01-11 22:27
FB-0000159,2021-01-11,,MH_B,Breakfast,Coffee,Veg,2,4,3,2,,,3.0,False,True,,,excellent,QR_Code,2021-01-11 08:31
FB-0000160,2021-01-11,S1589,MH_B,Breakfast,Idli-Sambar,Veg,1,4,3,4,,,2.0,True,False,,Just_Right,,QR_Code,2021-01-11 07:24
FB-0000161,"January 11, 2021",S2535,MH_B,Lunch,Mutton Curry,Non_Veg,3,2,3,3,,,4.0,False,False,,,cross-contamination,In_Person,2021-01-11 14:21
FB-0000162,"January 11, 2021",S2535,MH_B,Lunch,Khichdi,Veg,2,5,5,1,,,4.0,False,False,,,,In_Person,2021-01-11 14:55
FB-0000163,11/01/2021,S1831,MH_B,Snacks,Poha,Veg,1,4,4,3,,,4.0,False,False,,Too_Little,,In_Person,2021-01-11 17:12
FB-0000164,2021-01-11,S1831,MH_B,Snacks,Bread-Butter,Veg,5,3,3,4,,,3.0,False,True,,Just_Right,cold,QR_Code,2021-01-11 18:08
